,french,bassa
28,"RÉSUMÉ : Aide tes auditeurs à comprendre en quoi le sujet les concerne, et montre- leur comment se servir de ce qu’ils apprennent","I SEM KWEP: Hôla baemble i nok lelaa nkwel woñ u ntihba biniñ gwap, unda ki bo lelaa ba nla gwélél i mam ba nigil"
30,"Un des 12 apôtres, Judas Iscariote, est allé voir les pharisiens en secret et il leur a demandé : Combien d’argent me donnerez- vous si je vous aide à trouver Jésus ?","Wada ikété 12 baôma le Yuda Iskariôt, a ke bisôsôli i boma Farisai, a bat bo le: ‘Moni nwañen n’a ti me ibale me nhôla bé i gwel Yésu?’"
31,Quel exemple nous aide à comprendre que toutes les religions n’enseignent pas la vérité ?,Limbe li héga li nhôla bés i tehe le ha bibase gwobisôna bé gwon bi niiga maliga?
32,"Plus tard, vous aurez peut-être besoin de leur aide","Jon yi le, u ga bana ngôñ ni bo i dilo di nlo"
34,"Durant sa jeunesse, Jésus a sûrement fait face à la mort de membres de sa famille et d’amis","Ngéda a bé mañge wanda, Yésu a bi lama yi njôghe i nimis bôt ba lihaa, ni mawanda"
36,Choisis des amis qui aiment Jéhovah et qui suivent les mêmes normes que toi,"Pohol mawanda ikété bet ba ngwés Yéhôva, ba ban-ga minlélém mi matiñ kiki we"
38,Heureux qu’il soit ton Ami,Le a yé liwanda joñ
40,"Par leurs actions, ils disent en quelque sorte : Je suis ton ami non parce que j’y suis obligé, mais parce que tu comptes pour moi","Ni maboñok map, a yé ndik wee ba yé i kal le: Me ta bé liwanda joñ, inyule u yé hisém tole hikaa, ndi inyule u yé nseñ i mis mem"
42,"Quand on se fait baptiser, on montre aux autres qu’on veut vraiment être l’ami de Dieu et le servir ","Ngéda u nkôs sôble, hala a ñunda bôt bape le u nsômbôl toi ba liwanda li Djob, u nsômbôl ki gwélél nye"
44,"La Bible dit : [Dieu] déteste une personne fausse, mais il est l’ami des gens droits ","Bibel i nkal le: Yéhôva a ñoo mut nu a mboñ mam ma yé nkoda, ndi a yé liwanda li bôt ba ba téé sép"
46,Il vaut mieux être l’ami de Dieu que de n’importe quel homme,Li ba liwanda li Djob li nloo li ba liwanda li mut binam nye kii nye
48,"Quand tu offres un repas, le midi ou le soir, n’invite pas tes amis, tes frères, les membres de ta famille ni des voisins riches","I ngéda u naña bôt i je i kosi tole kôkôa, u sébél bañ mawanda moñ, to lôkisoñ, to bôt boñ ba lihaa, to bôt boñ ba libôk ba ba yé mingwañ"
50,Question : Comment sait- on que Dieu veut qu’on devienne ses amis ?,Mbadga: Lelaa di nyi le Yéhôva a nsômbôl le di ba mawanda mé?
51,Vous trouverez de tels amis parmi les Témoins de Jéhovah,U nla léba i nya mawanda ikété ntôñ u Mbôgi Yéhôva
53,DESCRIPTION DE L’ILLUSTRATION : L’influence des amis : Une jeune Témoin apprend à être fière de servir Jéhovah,NDOÑI BITITII: Mawanda: Njohok mañge muda nu a yé Mbôgi Yéhôva a nigil le a nlama ba maséé ni libak jé li Mbôgi Yéhôva
55,"Avec l’aide de son ami Antonio, il a surmonté une mauvaise passe","Ni mahôla ma liwanda jé li mahee le Antôniô, a bi la nihbe mangéda ma ndutu ikété niñ yé"
57,Mais comment devenir son ami ?,Lelaa di nla pam i boñ hala?
58,qu’ils ne peuvent pas être l’ami de Dieu parce qu’ils se sentent impurs ou pécheurs,"le ba ta bé le ba ba mawanda ma Nyambe, inyule ba nôgda le ba yé bikwéha tole nyega"
60,"Si tes amis imitent Jésus et qu’ils prêchent la bonne nouvelle du royaume de Dieu avec zèle, ils pourront t’aider à t’améliorer et à rester fidèle à Jéhovah","Ibale mawanda moñ ma nigle Yésu, ma bak ma pégi i niiga bôt bape mam ma mbéñge Ane Djob, ma nla hôla we i ba loñge mut, ni i téñbe i gwés Yéhôva"
62,"Pour Dieu c’est la même chose : si vous voulez être son ami, vous devez avoir une conduite qui lui fait plaisir ","Nlélém ni Djob, ibale u nsômbôl ba liwanda jé, u nlama boñ mam ma nlémél nye"
64,"Quand quelqu’un achète la vérité, que peut- il arriver à ses relations avec ses amis ou sa famille ?","Ngéda di nsomb maliga, lelaa hala a nla tihba maada més ni bôt bape?"
65,Jéhovah devient l’ami intime des hommes droits ,A yé liwanda li bôt ba yé sép
67,Dieu vous invite à devenir son ami,Djob a nsébél we le u yila liwanda jé
68,Elle permet aux humains qui deviennent des amis de Jéhovah d’obtenir la vie éternelle ,"U nson u, u nyible bôt ba nyila mawanda ma Djob njel i niñ boga"
70,Il reprend aussi fermement les faux amis de Job,"Mbus hala, Élihu a kônt yak mawanda ma Hiôb ma bitembee"
72,Est- ce que mes amis m’aiment suffisamment pour me reprendre si c’est nécessaire ?,Baa mawanda mem ma ngwés me kayéle ba nla kodol me ibale me mboñ hihôha?
73,Moïse était un ami de Jéhovah,Môsi a bi tehe bisai bi i niñ yé
75,Et il éprouve le même amour pour tous ceux qui accueillent le royaume de Dieu comme un jeune enfant ,A gwé nlélém gwéha inyu ba bobasôna ba ‘nleege Ane Nyambe kiki mañge ntitigi
77,Nos marques d’amour ne se limitent pas à notre entourage,Gwéha di gwéne bôt bape i ta ndik bé inyu bôt ba niñ bés bebe
79,Le Dieu d’Israël est plein d’amour et de miséricorde,"Yéhôva a ntét bé i bôt a ñane, ndi a ñéga bo ni gwéha"
81,C’est pourquoi les étudiants ont besoin de cultiver l’amour et la reconnaissance pour Dieu ,"Inyu hala nyen, banigil Bibel ba gwé ngôñ i kéñbaha gwéha yap inyu Djob ni ti nye mayéga"
83,"Plus elles en apprendront sur la rançon, plus elles seront impressionnées par l’étendue de l’amour et de la sagesse de Jéhovah",I nya bôt i i bé lama ba nhelek ngéda ba bi bôdôl nok loñge loñge lelaa gwéha ni pék i Yéhôva i bé nene mu binoñ a bi ti
85,Les actes de Caïn laissent rapidement paraître son absence de foi authentique et d’amour pour Dieu,"Kain a bééna bé bañga hémle, a bé gwés bé to Djob; jon minson nwé mi bi pala yelel libak jé"
87,Comment des conjoints peuvent- ils se témoigner leur amour ?,Lelaa babiina ba nla éba le ba ngwéhna?
88,Réfléchir à l’amour que Jésus manifestait même quand on lui faisait du mal m’a aidée à montrer le même genre d’amour à ma collègue,"I yoñ ngéda i ôt pék mu ndémbél gwéha i Yésu, ngéda liwanda jem li bôlô li bi suu me, i bi hôla me i unda nye nlélém gwéha"
90,aux belles œuvres et à l’amour,Ni pék i Djob inyu nseñ wés
92,Jéhovah a montré son amour désintéressé aux humains avant même de créer le premier couple,Yéhôva a unda gwéha inyu bôt ba binam ilole a ba hek Adam bo Éva
94,"N’oublie jamais : tout ce que tu fais pour montrer ton amour pour Jéhovah lui est précieux, même si cela te semble peu ","Bigda le, to imbe yom u mboñ inyu unda Yéhôva le u ngwés nye, to ibale i nene isii, i yé nséñ inyu yé"
96,"En même temps, demande- toi comment tu peux approfondir ton amour pour ces trésors spirituels","Mu kii di ga nigil i mam ma, hiki wada wés a soñda lelaa di nla kéñbaha gwéha yé inyu mana masôô ma nkus ma mbuu"
98,L’amour pour nos compagnons chrétiens nous incite à favoriser la paix de la congrégation,I gwéha di gwé inyu bilôk bikéé i nlama tinde bés i sôñ nsañ u likoda
100,L’excommunication est une preuve d’amour envers,I pémés mut i ntôñ i ñunda gwéha inyu 
104,Leur amour et leur haine et leur jalousie ont déjà péri ,Gwéha yap ni ôa yap ni njôñ yap bi mal wo
106,"Manifestement, nous ne pouvons pas nous garder dans l’amour de Dieu si nous avons l’habitude de tenir des propos malsains, mensongers ou blessants","Jon, i yé ntiik le, di nla bé tééda bésbomede ikété gwéha Nyambe ibale di gwé lem i pahal bibuk bibe, bi bi ta bé maliga tole bi bi mbablana"
108,"Quand les nouveaux venus voient l’amour chrétien à l’œuvre et en sont l’objet, ils peuvent se sentir poussés à louer Dieu et à se joindre à nous pour l’adorer ","Ngéda ba nlo i makoda inyu ngélé yap bisu, ba ntehe gwéha i bilôk bikéé, hala a nla tinde bo i ti Yéhôva lipém, ni i adba ni bés mu bibégés bipubi"
110,Le dur labeur de notre amour,Di ntehe gwéha yoñ ’nyu yés
112,Qu’est- ce que l’ amour sans hypocrisie ?,Gwéha i i gwé bé bihéñba i nkobla le kii?
113,Isaïe a de nouveau expliqué que les Israélites qui rentreraient d’exil n’auraient rien à craindre des animaux ou des humains,"Yésaya a bi ke ni bisu i yigye le bôt ba binam, to binuga bi bé lama bé tééñga i bet ba bi huu"
115,Notons cependant que les Israélites n’étaient pas tenus à l’impossible pour essayer d’éliminer la moindre trace de sang de la chair de l’animal,Lôk Israél i bé bé nyéksaga i pémés matjél momasôna le fet ikété minsôn mi nuga
117,"Imagine : il faut installer tous les animaux à bord, ranger leur nourriture et celle de la famille et charger les affaires de chacun","Hoñol bôlô i bé béda inyu jôpna binuga gwobisôna ni bijek gwap, inyu bôñgôl gwo i nya i kôli, ni inyu tjek nkus u lihaa li Nôa loñge"
119,"C’est pourquoi, dans l’Israël antique, un pécheur repentant pouvait offrir un animal en sacrifice sur l’autel de Jéhovah et s’éviter ainsi de subir une condamnation pour avoir transgressé ses commandements ","Jon i nlômbi Lôk Israél, mboñbéba nu a nhiel ñem a bé lama kena bilém i juu li bisesema inyu boñ le a semb-ba kokse inyule a mbôk mbén Djob"
121,Les animaux sont des âmes,Binuga bi yé bihégél bi minsôn
123,"Après le déluge, Dieu a autorisé les humains à manger la chair des animaux, mais pas leur sang","Mbus ntida malép i ngéda Nôa, Djob a ti bôt kunde i je minsôn mi binuga, ndi ha matjél bé"
125,Il est mal également de manger la chair d’un animal qui n’a pas été correctement saigné,I ta bé to loñge i je nuga i ba ntibil bé nol
127,Jésus n’a pas sacrifié d’animaux,Yésu a bi ti bé binuga kii sesema
129,"Et d’autres religions disent qu’après la mort, on est jugé et on renaît avec un corps différent, un corps humain ou animal","Bibase bipe ki bi niiga le ngéda mut a nwo, ba nkéés nye, mbus a témb a gwéé tole a témb i niñ ni nyuu ipe, bebeg ni nyuu i nuga tole i mut numpe"
131,"Après avoir créé le premier homme, Adam, Dieu lui a amené les animaux pour qu’il leur donne un nom","Ngéda Yéhôva a bi heg mut bisu le Adam, a bi ti nye bôlô i oo binuga môl"
133,Mais les animaux des Israélites ne mouraient pas,Ndi bilém bi bon ba Israel bi bé wo bé
135,Même notre façon de traiter les animaux est importante pour Jéhovah,Yak litééda di ntééda binuga li yé nseñ inyu Yéhôva
137,On utilise des produits obtenus à partir de l’hémoglobine humaine ou animale pour soigner des patients qui sont atteints d’anémie aiguë ou qui ont perdu une grande quantité de sang,Ba ngwélél hémôglôbin i nlôl i matjél ma bôt ba binam ni ma binuga inyu boñ bee bi ntibil i bôt matjél ma mal ikété nyuu tole i bôt ba nimis matjél ngandak
139,Jéhovah a préparé la Terre pour que les animaux et les humains puissent y vivre,"Mbus, Yéhôva a kôôba hisi inyu boñ le binuga ni bôt ba binam ba niñ mu"
141,"Jéhovah a fait les animaux il y a très longtemps, avant même de faire l’homme",Yéhôva a bôg heg binuga ntanda ngéda ilole a ba heg mut binam
143,Comment sait- on qu’il y aura la paix entre les humains et les animaux ?,Kii nyis bés le nsañ u mba ipôla binuga ni bôt ba binam?
144,La Loi ordonnait aussi aux Israélites d’offrir des animaux en sacrifice pour que leurs péchés soient pardonnés ,Mbén i bé ti ki Lôk Israel oda le i sem binuga inyu nwéhél bibéba
146,Ils se disent peut-être que ces petites fractions ne représentent plus la vie de l’humain ou de l’animal duquel le sang a été pris,"Ba nhoñol le disii di gwom ti, di ta ha bé yimbne i niñ i hégél i het matjél ma nyôña"
148,"Ces derniers recherchaient des signes dans des entrailles d’animaux ou d’humains, ou même dans la façon dont un coq picorait le grain","Ngim bôt ba ngambi i bé gwélél minla mi binuga tole mi bôt, ipe i bé béñge lelaa kôp i ntjobol mis ma kôn, inyu toñol lelaa bilôl bi mut gw’a ba"
150,Un animal étouffé ou bien mort dans un piège ne doit pas être mangé,"Ibale ba nkép nuga joo tole i ngwéya i hiandi ndi i wo nidik, i nlama bé jéba"
152,Ils ont fait entrer beaucoup d’animaux dans l’arche,Ba bi jôbna ngandak binuga ikété nkuu
154,Il y aura la paix entre les humains et les animaux,Nsañ u mba ipôla binuga ni bôt ba binam
156,"Marie l’enveloppe dans des langes et le pose dans une mangeoire, là où on met la nourriture des animaux","Maria a nlép nye ni mabadô, a niñ nye i homa bilém bi njél"
158,La Loi de Moïse autorisait les Israélites à manger des animaux,"I si Mbén Môsi, bôt ba bééna kunde i je binuga"
160,"Si le sang d’un animal tué n’était pas utilisé sur l’autel, il devait être versé à terre","Ibale ba bé le ba nol nuga, ndi ba gwélél bé matjél mé ngii juu li bisesema, ba bé nlama kôp mo isi"
162,"J’étais angoissée à l’idée de quitter notre famille, notre congrégation, notre appartement, tous les endroits qui nous étaient familiers et de changer nos habitudes","Hala a tééñgaga me i yi le m’a yék lihaa jem, likoda jem, ndap yem, bahoma ni mam me bi meya"
164,L’appât de Balaam a- t- il fonctionné ?,Baa ba bi kwo mu hiandi hi Balam?
165,Satan s’est servi d’appâts pour piéger un grand nombre d’anges,Satan a bi gwélél hipa hi ngui inyu gwel ngandak biañgel
167,"En fait, l’appât du Diable le plus efficace, c’est le sexe ","Ñ, hipa Nsohop a ngwélél ngandak i len ini, hi yé malal ma nyega"
169,Un autre appât que Satan utilise est la curiosité pour le surnaturel,Hipa hi ngui hipe Satan a ngwélél hi yé ngôñ i yi mam ma sôli mbus makañ
171,"Quel autre appât Satan utilise- t- il, et comment ne pas tomber dans le piège ?","Himbe hipa hipe hi ngui Satan a ngwélél, ni lelaa di nla keñgle hio?"
172,Continue d’apprendre à connaître Jéhovah,Ke ni bisu i yi njee a yé Yéhôva
174,Tous les hommes doivent apprendre,"Le bôt bobasô ba yi le,"
175,C’est donc très important d’apprendre à penser comme Jésus,"Inyu hala nyen, i nlôôha ba nseñ i nigil hoñol kiki Kristô"
177,b) Que voulons- nous apprendre sur Yiphtah et Hanna ?,Kii di gwé ngôñ i nigil mu ndémbél i Yéfta bo Hana?
178,"Quand quelqu’un montre qu’il veut apprendre à connaître Jéhovah, Satan et les démons le remarquent et ils essaient de l’en empêcher","Ngeñ mut a ñunda le a ngwés yi njee a yé Yéhôva, Satan ni mimbuu nwé mimbe ba nyimbe jam li, ba noode ki kéñ mut nu njel le a yi bañ Djob"
180,Nous pouvons profiter du culte familial pour nous entraîner à les chanter et à en apprendre les paroles,Di nla gwélél ngéda bibégés bi ndap lihaa inyu nigil tjémbi ni bibañga gwap
182,Voyons comment Jéhovah a protégé Job et ce que nous pouvons apprendre de ce qui lui est arrivé,"Di nke tehe kii ñañ Hiôb u niiga bés, ni lelaa Yéhôva a bi sôñ nye"
184,"De cette façon, nous pourrons en apprendre plus sur leur situation et leurs besoins","Ha nyen di nla yéñ yi i mam ma mpémél bôt bape, ni ma ba gwé ngôñ"
186,"Quoiqu’il soit bon d’écouter et d’apprendre,","I yé loñge i emble bañga yé yi,"
187,"Pour plaire à Jéhovah, nous devons apprendre à aimer tout le monde ","Inyu lémél Yéhôva, di nlama nigil i gwés bôt bobasôna"
189,Quels bienfaits vos enfants peuvent- ils retirer à apprendre votre langue ?,Lelaa bon banan ba nla ôt nseñ i nigil hilémb hinan?
190,Que pouvons- nous apprendre de l’erreur d’Asa ?,Kii hihôha hi Asa hi nla niiga we?
191,Des jeunes chrétiens décident d’apprendre une autre langue,Ngim boñge ba wanda ba bi nigil hilémb hipe
193,"En effet, il accorde de la valeur à la vie et croit que chaque humain est capable de se repentir et d’apprendre à faire le bien","A ndiihe niñ i mut binam, a gwéhék ki le hiki mut a tam bibéba gwé, a nigil i boñ loñge"
195,Pourquoi est- ce important de cultiver le même point de vue que Jéhovah sur le mal et d’apprendre à nous maîtriser ?,"Lelaa i bana mahoñol ma Yéhôva inyu béba ni gwel bésbomede, i nsôñ bés ni maboñok mabe?"
197, a) Pourquoi cela prend- il du temps d’apprendre à connaître la vérité ?, Inyuki i mbéda ngéda inyu somb maliga?
198,b) Comment des parents peuvent- ils apprendre à leurs enfants à se montrer reconnaissants ?,Lelaa bagwal ba nla niiga bon bap i ti mayéga?
199,Que peux- tu apprendre de l’exemple de Daniel ?,Bimbe biniigana u nla ôt mu ndémbél i Daniel?
200,La Bible dit qu’il est bien de se réserver du temps pour apprendre à connaître Jéhovah ,Bibel i nkal le mut pék a nti nyemede ngéda i nigil yi nje a yé Yéhôva
202,Les parents de David ont commencé à lui apprendre à aimer Jéhovah quand il était bébé,"Ibôdôl ni ngéda David a bé nkéñéé man, bagwal bé ba bi niiga nye i gwés Yéhôva"
204,b) Pourquoi certains enfants sont- ils réticents à apprendre la langue de leurs parents ?,Inyuki ngim boñge i ntjél nigil hop u bagwal bap?
205,"Si quelqu’un a des compétences dans le domaine de la maintenance ou aimerait apprendre en aidant ceux qui en ont, que devrait- il faire ?","Ibale mankéé wada a gwé ngim likeñge, tole a nsômbôl nigil i pañ bet ba gwé ngim ngap, kii a nlama boñ?"
206,"Ils nous offraient souvent du poisson frais, des avocats et des arachides","Ngim mangéda ba bé ba ti bés tjobi di yômi, piya, ni diwônde"
208,"De même que l’eau redonne vie à un arbre desséché, une parole calme dite par une langue apaisante peut redonner le moral à celui qui l’entend","* Kiki malép ma nti nkôt e niñ, hala nyen bipôdôl bilam bi nlôl i tomba hilémb bi nla hôyôs miñem mi baemble"
210,Tout arbre qui ne produit pas de beaux fruits sera coupé et jeté au feu ,"Jon hiki e i i num bé matam malam, ba nkit yo, ba leñ yo ikété hié"
212,"En Éden, il a demandé à Ève : Est- ce vrai que Dieu a dit que vous ne devez pas manger de tout arbre du jardin ?","I wom Eden, a bi bat Eva le: Baa, hodo le Nyambe a nkal le, ni je bañ matam ma bie gwobisôna mu wom?"
213,"Tels de beaux arbres plantés près de sources,","Ngéda di nôgôl Yéhôva, Tata wés,"
214,"En mangeant du fruit de l’arbre en Éden, Ève a rejeté son Père","Ngéda Éva a bi je litam li e i wom Éden, a bi ndogbene Isañ"
216,Un royaume qui est comme un grand arbre,Ane i i yé kiki soso e
217,"Jésus constate également que ces mains puissantes, qui abattent des arbres, scient des planches et assemblent les pièces de charpente à grands coups de marteau, savent tout autant le réconforter lui, sa maman ou ses frères et sœurs d’une caresse sur la joue","Yésu a nsôk a léba ki le mimpémba mi moo mi isañ, mi mi nkek bie, mi kanak bikék, mi gwéélak hama inyu tômôl mabam, mi nla ki siinga nye limañ inyu hôgbaha nye, nyañ, loñni bilôk binyañ bi bôlôm ni bi bôda"
219,"Elle est comme un arbre en train de mourir, mais dans lequel il reste un peu de vie, puisque Jésus est présent, tout comme de nombreux Juifs qui ont foi en lui","Yésu a mpôdôl litén li Yuda, li li yé kiki e i i yé wo, inyule Yésu a ngi niñik, nye ni ngim bon i Lôk Yuda i i nhémle nye"
221,"Plus elle regardait les fruits de l’arbre interdit, plus elle en voulait","Kiki Éva a bé kenek ni bisu i béñge litam li, hala nyen ngôñ i je jo i bé keñep"
223,"Tout comme un arbre magnifique peut avoir un effet stimulant et redonner de la vie, des paroles gentilles peuvent redonner de l’énergie à quelqu’un","Kiki malép ma nsunhe e, ma tinak yo niñ, hala ki nyen bipôdôl bilam bi nla hôyôs miñem mi baemble"
225,"Les mots grecs qui sont traduits par croix veulent dire poteau , bois ou arbre ","Bibuk ni hop Grikia bôt ba nkobol le mbasa, i maliga bi nkobla le kék i téé, mbiñ, tole e"
227,En quel sens les pharisiens sont- ils comme un arbre pourri ?,Ni imbe njel Farisai i yé kiki mbôô e?
228,"Je me suis tapi derrière un arbre couché, ce qui a conduit à ma rencontre avec les soldats évoquée en introduction","Me bi solop i mbus nkok e, hala nyen me boma bisônda bi me mbôk me añle bé"
230,Les prophéties de la grande image et de l’arbre immense sont la garantie que le royaume de Jéhovah va bientôt supprimer la méchanceté et gouverner la terre,"Mbañ inyu soso ôñgba, ni mbôm e, bi ñéba le Ane Yéhôva i yé bebee i sas bibéba gwobisôna, y’a énél ki hisi"
232,"Prenons un exemple : Quand on déplace un arbre, il subit un stress","Di yoñ hihéga hini: Ngéda ba nup bie inyu ke bel gwo homa mpe, hala a yé a ba ndutu ngandak"
234,Un royaume qui est comme un grand arbre,Ane i i yé kiki soso e
235,"Alors, à quoi préférerais- tu ressembler : à une feuille morte que la moindre brise soulève ou à un arbre qui résiste aux tempêtes les plus puissantes ?","Sôk i nsôk, njee w’a pôôna? Baa w’a ba kiki minkôt mi tjai, mi mi nkwo isi ngéda man mbebi a nhôñ, tole w’a ba kiki e i i nyégle bitétéé yak ngéda mbuk mbebi a nhôñ?"
236,"Dans la congrégation, certains chrétiens ont besoin de plus de temps pour parvenir à la maturité spirituelle, tout comme sur un arbre certains fruits mûrissent plus lentement que d’autres","Kristen ihogi i nyoñ ngandak ngéda inyu hol i pes mbuu, nlélém kiki matam ma e momasôna ma nhôlôl bé hilo hiada"
238,"Avant d’arrêter un cours biblique, prie Jéhovah pour qu’il te guide","Ilole u ntéé ngim yigil i Bibel, toñ sômbôl i Yéhôva ni njel masoohe"
240,"Le corps entre aussitôt en action pour arrêter le saignement, dilater les vaisseaux sanguins, réparer la blessure et renforcer les tissus","Kunda yada, nyuu i mbôdôl sal inyu kit matjél, yibil minkañ, mélés mbabaa, ni lédés nsôn"
242,"En arrivant à Harân, il s’arrête à un puits, avec les autres serviteurs, parce qu’il sait que des gens vont bientôt venir y chercher de l’eau","I ngéda Éliézer ni ba bagwélél bape ba bi pam i Haran, ba bi telbene i bee malép inyule Éliézer a bé yi le bôt ba bé bebee ni lo i ap malép"
244,Le roi Artaxerxès fait arrêter la construction,Kiñe Artaserses a ntéé maoñ
245,J’ai dû m’arrêter pour méditer sur cet incroyable repas prophétique de la Pâque ,"I bi mbéda me le me telep, me yoñ ngéda i tehe lelaa Ngand Pasa i yé mbañ i mbuma ñañ"
247,Mais je ne voulais pour rien au monde arrêter mon service de pionnier,Ndi me bééna bé ngôñ le yom yo ki yo i boñ me le me téé nson wem u nsañal
249,"Soudain, le petit garçon s’arrête, l’air perturbé","Kunda yada mañge a telep, su wé u ñunda le jam li yé téñga nye"
251,"Tous les jours j’étais assis dans le Temple en train d’enseigner, et pourtant vous ne m’avez pas arrêté","Hiki kel, me bééna lem i yén ikété témpel inyu niiga, ndi ni bi gwel bé me"
253,Arrête- toi sur quelques-unes des choses extraordinaires que Jéhovah accomplit par l’intermédiaire de ses serviteurs imparfaits mais volontaires,Di béñge ndék mam malam le Yéhôva a mboñ ni njel bagwélél bé to hala kii ba yé bikwéha bi bôt
255,"Par exemple, quand les Sadducéens se sont opposés à eux, ils n’ont pas voulu arrêter de prêcher en son nom ","Ngéda ntôñ Sadukai u bi yéñ sôña bo i niiga i jôl li Yésu, baôma ba bi tjél boñ hala"
257,Jésus allait très bientôt être arrêté,Ngéda i bé bebee ni kola le Yésu a gwéla
259,Il lui a demandé de prêcher aux habitants de Juda et de leur dire d’arrêter de faire des choses mauvaises,"A bi kal nye le a tééne bo likalô, a béhe ki bo, le ba waa boñ mam mabe"
261,Jésus et Pierre sont montés dans le bateau et la tempête s’est tout de suite arrêtée,"Ngéda Yésu bo Pétrô ba bi jôp i môñgô, i nlélém ngéda, mbuk mbebi a mom nwee"
263,Jérémie n’a jamais arrêté de parler de Jéhovah,Yérémia a bi waa bé pot i jôl li Yéhôva
264,"Et quelques jours plus tôt, les autorités religieuses ont conspiré pour arrêter Jésus et le tuer ","Ñ, nwaa le bikééhene bi mbôdôl, ba bi mal kéés Yésu, ba pémés ki nye mbagi nyemb"
266,"Les astrologues la suivent jusqu’à ce qu’elle s’arrête, juste au-dessus de la maison où Joseph et Marie vivent à présent avec leur jeune fils",Bayitjôdôt ba noñ hiôdôt letee hi ntelep i ngii ndap het Yôsep bo Maria ba niñ nano ni man wap
268,"Mais si tu arrêtes de servir Jéhovah, tu te rendras vite compte que personne au monde ne t’aime plus que tes parents chrétiens et ta congrégation","Ndi ibale u nwas le njôô i tinde we i tjôô Yéhôva, u ga léba le mut to wada a ta bé le a tôñ toi we iloo bagwal boñ, ba ba nkon Yéhôva woñi, yak ni likoda joñ"
