,bassa,french
11,Ndi bés di nti Yéhôva mayéga le a bi hôla bés i niñ ikété nsañ ni i nok maliga!,"Mais nous, nous sommes heureux que Jéhovah nous aide à être en paix et à comprendre la vérité !"
13,Lelaa ñem nsôhga u nla hôla bés ngéda ba ñôm bés nsohi?,Comment la modestie nous aide- t- elle face à des reproches injustes ?
14,"Noode yi mam momasôna ma noode hémle yap, u hôla ki bo i yémbél mo.","Essaie de savoir quelles épreuves subit leur foi, et aide- les à y faire face."
15,Kii i bi hôla nye?,Qu’est- ce qui l’a aidée ?
16,"Ngéda u nkon woñi, u mboñ kii?",Qu’est- ce que tu fais quand tu as peur ?
17,"Ni mahôla ma liwanda jé li mahee le Antôniô, a bi la nihbe mangéda ma ndutu ikété niñ yé.","Avec l’aide de son ami Antonio, il a surmonté une mauvaise passe."
18,"Ibale u gwé man, hôla nye i nok inyuki Yéhôva a bi ti bon ba Israel Mbén, Lap, ni biprisi.","Si tu es un père ou une mère, aide ton enfant à comprendre pourquoi Jéhovah leur a donné la Loi, le tabernacle et la prêtrise."
19,"I SEM KWEP: Hôla baemble i nok lelaa nkwel woñ u ntihba biniñ gwap, unda ki bo lelaa ba nla gwélél i mam ba nigil.","RÉSUMÉ : Aide tes auditeurs à comprendre en quoi le sujet les concerne, et montre- leur comment se servir de ce qu’ils apprennent."
20,"Di lek mis més yak Djob inyu kôhna hogbe, pék ni mahôla, inyule di nyi le a nit bôt ba mboma mandutu","Nous pouvons nous tourner vers Dieu pour obtenir réconfort, sagesse et soutien, car il vient en aide à ceux qui sont dans la détresse."
21,"Wada ikété 12 baôma le Yuda Iskariôt, a ke bisôsôli i boma Farisai, a bat bo le: ‘Moni nwañen n’a ti me ibale me nhôla bé i gwel Yésu?’","Un des 12 apôtres, Judas Iscariote, est allé voir les pharisiens en secret et il leur a demandé : Combien d’argent me donnerez- vous si je vous aide à trouver Jésus ?"
22,Limbe li héga li nhôla bés i tehe le ha bibase gwobisôna bé gwon bi niiga maliga?,Quel exemple nous aide à comprendre que toutes les religions n’enseignent pas la vérité ?
23,"Jon yi le, u ga bana ngôñ ni bo i dilo di nlo.","Plus tard, vous aurez peut-être besoin de leur aide."
25,"Ngéda a bé mañge wanda, Yésu a bi lama yi njôghe i nimis bôt ba lihaa, ni mawanda.","Durant sa jeunesse, Jésus a sûrement fait face à la mort de membres de sa famille et d’amis."
26,"Pohol mawanda ikété bet ba ngwés Yéhôva, ba ban-ga minlélém mi matiñ kiki we.",Choisis des amis qui aiment Jéhovah et qui suivent les mêmes normes que toi.
27,Le a yé liwanda joñ.,Heureux qu’il soit ton Ami.
28,"Ni maboñok map, a yé ndik wee ba yé i kal le: Me ta bé liwanda joñ, inyule u yé hisém tole hikaa, ndi inyule u yé nseñ i mis mem.","Par leurs actions, ils disent en quelque sorte : Je suis ton ami non parce que j’y suis obligé, mais parce que tu comptes pour moi."
29,Ngo nyen a yé Ñane ni Nwet ngiinda yosôna. Ba liwanda jé li yé bisai bikeñi kiyaga.,"Après tout, il est le Souverain Seigneur de l’univers, et être son ami est le plus grand des honneurs."
30,"Ngéda u nkôs sôble, hala a ñunda bôt bape le u nsômbôl toi ba liwanda li Djob, u nsômbôl ki gwélél nye.","Quand on se fait baptiser, on montre aux autres qu’on veut vraiment être l’ami de Dieu et le servir ."
31,"Bibel i nkal le: Yéhôva a ñoo mut nu a mboñ mam ma yé nkoda, ndi a yé liwanda li bôt ba ba téé sép.","La Bible dit : [Dieu] déteste une personne fausse, mais il est l’ami des gens droits ."
32,Li ba liwanda li Djob li nloo li ba liwanda li mut binam nye kii nye.,Il vaut mieux être l’ami de Dieu que de n’importe quel homme.
33,"I ngéda u naña bôt i je i kosi tole kôkôa, u sébél bañ mawanda moñ, to lôkisoñ, to bôt boñ ba lihaa, to bôt boñ ba libôk ba ba yé mingwañ.","Quand tu offres un repas, le midi ou le soir, n’invite pas tes amis, tes frères, les membres de ta famille ni des voisins riches."
34,Mbadga: Lelaa di nyi le Yéhôva a nsômbôl le di ba mawanda mé?,Question : Comment sait- on que Dieu veut qu’on devienne ses amis ?
35,U nla léba i nya mawanda ikété ntôñ u Mbôgi Yéhôva.,Vous trouverez de tels amis parmi les Témoins de Jéhovah.
36,NDOÑI BITITII: Mawanda: Njohok mañge muda nu a yé Mbôgi Yéhôva a nigil le a nlama ba maséé ni libak jé li Mbôgi Yéhôva.,DESCRIPTION DE L’ILLUSTRATION : L’influence des amis : Une jeune Témoin apprend à être fière de servir Jéhovah.
37,"Ni mahôla ma liwanda jé li mahee le Antôniô, a bi la nihbe mangéda ma ndutu ikété niñ yé.","Avec l’aide de son ami Antonio, il a surmonté une mauvaise passe."
38,Lelaa di nla pam i boñ hala?,Mais comment devenir son ami ?
39,"le ba ta bé le ba ba mawanda ma Nyambe, inyule ba nôgda le ba yé bikwéha tole nyega.",qu’ils ne peuvent pas être l’ami de Dieu parce qu’ils se sentent impurs ou pécheurs.
40,"Ibale mawanda moñ ma nigle Yésu, ma bak ma pégi i niiga bôt bape mam ma mbéñge Ane Djob, ma nla hôla we i ba loñge mut, ni i téñbe i gwés Yéhôva.","Si tes amis imitent Jésus et qu’ils prêchent la bonne nouvelle du royaume de Dieu avec zèle, ils pourront t’aider à t’améliorer et à rester fidèle à Jéhovah."
41,"Nlélém ni Djob, ibale u nsômbôl ba liwanda jé, u nlama boñ mam ma nlémél nye.","Pour Dieu c’est la même chose : si vous voulez être son ami, vous devez avoir une conduite qui lui fait plaisir ."
42,"Ngéda di nsomb maliga, lelaa hala a nla tihba maada més ni bôt bape?","Quand quelqu’un achète la vérité, que peut- il arriver à ses relations avec ses amis ou sa famille ?"
43,A yé liwanda li bôt ba yé sép.,Jéhovah devient l’ami intime des hommes droits .
44,Djob a nsébél we le u yila liwanda jé,Dieu vous invite à devenir son ami
45,"U nson u, u nyible bôt ba nyila mawanda ma Djob njel i niñ boga.",Elle permet aux humains qui deviennent des amis de Jéhovah d’obtenir la vie éternelle .
46,"Mbus hala, Élihu a kônt yak mawanda ma Hiôb ma bitembee.",Il reprend aussi fermement les faux amis de Job.
47,Baa mawanda mem ma ngwés me kayéle ba nla kodol me ibale me mboñ hihôha?,Est- ce que mes amis m’aiment suffisamment pour me reprendre si c’est nécessaire ?
48,"Inyu jam li moog, bahogi ba ngwés ba ntégbaha loñge ngéda inyu kabna libôndô li moog ni ndék mawanda. Bape, hala a ntéñga bo ngandak.","Pour ce qui est de l’alcool, par exemple, l’un trouve agréable de déguster un verre en compagnie de quelques amis au cours d’une soirée détendue, alors que l’autre trouve cette pratique anormale."
49,Môsi a bi tehe bisai bi i niñ yé.,Moïse était un ami de Jéhovah.
50,A gwé nlélém gwéha inyu ba bobasôna ba ‘nleege Ane Nyambe kiki mañge ntitigi.’,Et il éprouve le même amour pour tous ceux qui accueillent le royaume de Dieu comme un jeune enfant .
51,Gwéha di gwéne bôt bape i ta ndik bé inyu bôt ba niñ bés bebe.,Nos marques d’amour ne se limitent pas à notre entourage.
52,"Nlélém kikii isañ nu gwéha ni nu pék a niiga bon bé, hala nyen Djob a niiga bôt mbog yosôna lelaa ba niñ i nya i nlôôha loñge.","Un père sage et plein d’amour instruit ses enfants. De même, Dieu enseigne à tout le monde la meilleure façon de vivre."
53,"Yéhôva a ntét bé i bôt a ñane, ndi a ñéga bo ni gwéha.",Le Dieu d’Israël est plein d’amour et de miséricorde.
54,"Inyu hala nyen, banigil Bibel ba gwé ngôñ i kéñbaha gwéha yap inyu Djob ni ti nye mayéga.",C’est pourquoi les étudiants ont besoin de cultiver l’amour et la reconnaissance pour Dieu .
55,I nya bôt i i bé lama ba nhelek ngéda ba bi bôdôl nok loñge loñge lelaa gwéha ni pék i Yéhôva i bé nene mu binoñ a bi ti.,"Plus elles en apprendront sur la rançon, plus elles seront impressionnées par l’étendue de l’amour et de la sagesse de Jéhovah."
56,"Kain a bééna bé bañga hémle, a bé gwés bé to Djob; jon minson nwé mi bi pala yelel libak jé.",Les actes de Caïn laissent rapidement paraître son absence de foi authentique et d’amour pour Dieu.
57,Lelaa babiina ba nla éba le ba ngwéhna?,Comment des conjoints peuvent- ils se témoigner leur amour ?
58,"I yoñ ngéda i ôt pék mu ndémbél gwéha i Yésu, ngéda liwanda jem li bôlô li bi suu me, i bi hôla me i unda nye nlélém gwéha.",Réfléchir à l’amour que Jésus manifestait même quand on lui faisait du mal m’a aidée à montrer le même genre d’amour à ma collègue.
59,Ni pék i Djob inyu nseñ wés.,aux belles œuvres et à l’amour.
60,Mimañ mi gwéha mi nhôla bape i nigil yoñ makidik map bomede,"Avec amour, les anciens montrent aux autres comment prendre leurs propres décisions ."
61,Yéhôva a unda gwéha inyu bôt ba binam ilole a ba hek Adam bo Éva.,Jéhovah a montré son amour désintéressé aux humains avant même de créer le premier couple.
62,"Bigda le, to imbe yom u mboñ inyu unda Yéhôva le u ngwés nye, to ibale i nene isii, i yé nséñ inyu yé.","N’oublie jamais : tout ce que tu fais pour montrer ton amour pour Jéhovah lui est précieux, même si cela te semble peu ."
63,"Mu kii di ga nigil i mam ma, hiki wada wés a soñda lelaa di nla kéñbaha gwéha yé inyu mana masôô ma nkus ma mbuu.","En même temps, demande- toi comment tu peux approfondir ton amour pour ces trésors spirituels."
64,I gwéha di gwé inyu bilôk bikéé i nlama tinde bés i sôñ nsañ u likoda.,L’amour pour nos compagnons chrétiens nous incite à favoriser la paix de la congrégation.
65,I pémés mut i ntôñ i ñunda gwéha inyu . . .,L’excommunication est une preuve d’amour envers...
66,Gwéha yap ni ôa yap ni njôñ yap bi mal wo.,Leur amour et leur haine et leur jalousie ont déjà péri .
67,"Jon, i yé ntiik le, di nla bé tééda bésbomede ikété gwéha Nyambe ibale di gwé lem i pahal bibuk bibe, bi bi ta bé maliga tole bi bi mbablana.","Manifestement, nous ne pouvons pas nous garder dans l’amour de Dieu si nous avons l’habitude de tenir des propos malsains, mensongers ou blessants."
68,"Ngéda ba nlo i makoda inyu ngélé yap bisu, ba ntehe gwéha i bilôk bikéé, hala a nla tinde bo i ti Yéhôva lipém, ni i adba ni bés mu bibégés bipubi.","Quand les nouveaux venus voient l’amour chrétien à l’œuvre et en sont l’objet, ils peuvent se sentir poussés à louer Dieu et à se joindre à nous pour l’adorer ."
69,Djob a ga begee mbegee yés.,"Ton amour m’allège d’un poids,"
70,"Ngéda i umne i ngii matiñ ma téé sép, a.gaʹpe a yé gwéha i nlôôha lam.","Étant basé sur de bons principes, l’amour agapê est la plus belle forme d’amour qui soit."
71,Di ntehe gwéha yoñ ’nyu yés.,Le dur labeur de notre amour.
73,"Bet ba nti toi nye lipém ba nyi le kikii a yé Nhek ngii ni hisi, nyen a kéhi ngii ngiinda yosô, ba nsuhul ki bomede ni gwéha i si yé kikii Ñane biniñ gwap.","Nous mettrons notre confiance en lui en tout temps et de tout notre cœur . Pour ceux qui l’honorent réellement, en sa qualité de Créateur du ciel et de la terre, il est le Souverain de l’univers, et aussi de leur vie ; ils se soumettent donc à lui avec amour."
74,Gwéha i i gwé bé bihéñba i nkobla le kii?,Qu’est- ce que l’ amour sans hypocrisie ?
75,"Yésaya a bi ke ni bisu i yigye le bôt ba binam, to binuga bi bé lama bé tééñga i bet ba bi huu.",Isaïe a de nouveau expliqué que les Israélites qui rentreraient d’exil n’auraient rien à craindre des animaux ou des humains.
76,Lôk Israél i bé bé nyéksaga i pémés matjél momasôna le fet ikété minsôn mi nuga.,Notons cependant que les Israélites n’étaient pas tenus à l’impossible pour essayer d’éliminer la moindre trace de sang de la chair de l’animal.
77,"Hoñol bôlô i bé béda inyu jôpna binuga gwobisôna ni bijek gwap, inyu bôñgôl gwo i nya i kôli, ni inyu tjek nkus u lihaa li Nôa loñge.","Imagine : il faut installer tous les animaux à bord, ranger leur nourriture et celle de la famille et charger les affaires de chacun."
78,"Jon i nlômbi Lôk Israél, mboñbéba nu a nhiel ñem a bé lama kena bilém i juu li bisesema inyu boñ le a semb-ba kokse inyule a mbôk mbén Djob.","C’est pourquoi, dans l’Israël antique, un pécheur repentant pouvait offrir un animal en sacrifice sur l’autel de Jéhovah et s’éviter ainsi de subir une condamnation pour avoir transgressé ses commandements ."
79,Binuga bi yé bihégél bi minsôn.,Les animaux sont des âmes.
80,"Mbus ntida malép i ngéda Nôa, Djob a ti bôt kunde i je minsôn mi binuga, ndi ha matjél bé.","Après le déluge, Dieu a autorisé les humains à manger la chair des animaux, mais pas leur sang."
81,I ta bé to loñge i je nuga i ba ntibil bé nol.,Il est mal également de manger la chair d’un animal qui n’a pas été correctement saigné.
82,Yésu a bi ti bé binuga kii sesema.,Jésus n’a pas sacrifié d’animaux.
83,"Bibase bipe ki bi niiga le ngéda mut a nwo, ba nkéés nye, mbus a témb a gwéé tole a témb i niñ ni nyuu ipe, bebeg ni nyuu i nuga tole i mut numpe.","Et d’autres religions disent qu’après la mort, on est jugé et on renaît avec un corps différent, un corps humain ou animal."
84,"Ngéda Yéhôva a bi heg mut bisu le Adam, a bi ti nye bôlô i oo binuga môl.","Après avoir créé le premier homme, Adam, Dieu lui a amené les animaux pour qu’il leur donne un nom."
85,Ndi bilém bi bon ba Israel bi bé wo bé.,Mais les animaux des Israélites ne mouraient pas.
86,Yak litééda di ntééda binuga li yé nseñ inyu Yéhôva.,Même notre façon de traiter les animaux est importante pour Jéhovah.
87,Ba ngwélél hémôglôbin i nlôl i matjél ma bôt ba binam ni ma binuga inyu boñ bee bi ntibil i bôt matjél ma mal ikété nyuu tole i bôt ba nimis matjél ngandak.,On utilise des produits obtenus à partir de l’hémoglobine humaine ou animale pour soigner des patients qui sont atteints d’anémie aiguë ou qui ont perdu une grande quantité de sang.
88,"Mbus, Yéhôva a kôôba hisi inyu boñ le binuga ni bôt ba binam ba niñ mu.",Jéhovah a préparé la Terre pour que les animaux et les humains puissent y vivre.
89,Yéhôva a bôg heg binuga ntanda ngéda ilole a ba heg mut binam.,"Jéhovah a fait les animaux il y a très longtemps, avant même de faire l’homme."
90,Kii nyis bés le nsañ u mba ipôla binuga ni bôt ba binam?,Comment sait- on qu’il y aura la paix entre les humains et les animaux ?
91,Mbén i bé ti ki Lôk Israel oda le i sem binuga inyu nwéhél bibéba.,La Loi ordonnait aussi aux Israélites d’offrir des animaux en sacrifice pour que leurs péchés soient pardonnés .
92,"Ba nhoñol le disii di gwom ti, di ta ha bé yimbne i niñ i hégél i het matjél ma nyôña.",Ils se disent peut-être que ces petites fractions ne représentent plus la vie de l’humain ou de l’animal duquel le sang a été pris.
93,"Ngim bôt ba ngambi i bé gwélél minla mi binuga tole mi bôt, ipe i bé béñge lelaa kôp i ntjobol mis ma kôn, inyu toñol lelaa bilôl bi mut gw’a ba.","Ces derniers recherchaient des signes dans des entrailles d’animaux ou d’humains, ou même dans la façon dont un coq picorait le grain."
94,"Ibale ba nkép nuga joo tole i ngwéya i hiandi ndi i wo nidik, i nlama bé jéba.",Un animal étouffé ou bien mort dans un piège ne doit pas être mangé.
95,Ba bi jôbna ngandak binuga ikété nkuu.,Ils ont fait entrer beaucoup d’animaux dans l’arche.
96,Nsañ u mba ipôla binuga ni bôt ba binam.,Il y aura la paix entre les humains et les animaux.
97,"Maria a nlép nye ni mabadô, a niñ nye i homa bilém bi njél.","Marie l’enveloppe dans des langes et le pose dans une mangeoire, là où on met la nourriture des animaux."
98,"I si Mbén Môsi, bôt ba bééna kunde i je binuga.",La Loi de Moïse autorisait les Israélites à manger des animaux.
99,"Ibale ba bé le ba nol nuga, ndi ba gwélél bé matjél mé ngii juu li bisesema, ba bé nlama kôp mo isi.","Si le sang d’un animal tué n’était pas utilisé sur l’autel, il devait être versé à terre."
100,"Hala a tééñgaga me i yi le m’a yék lihaa jem, likoda jem, ndap yem, bahoma ni mam me bi meya.","J’étais angoissée à l’idée de quitter notre famille, notre congrégation, notre appartement, tous les endroits qui nous étaient familiers et de changer nos habitudes."
101,Baa ba bi kwo mu hiandi hi Balam?,L’appât de Balaam a- t- il fonctionné ?
102,"Ni jam li mahoñol, Balam a nleñ jéle yé","Cet objectif défini, Balaam a alors lancé son appât : les séduisantes jeunes femmes de Moab."
103,"Satan noode lôk bés ni dipa kiki bo malal ma nyega, béba ngôk, ni makañ","Satan utilise l’immoralité sexuelle, l’orgueil et le surnaturel pour essayer de nous appâter ."
104,Satan a bi gwélél hipa hi ngui inyu gwel ngandak biañgel.,Satan s’est servi d’appâts pour piéger un grand nombre d’anges.
105,"Ñ, hipa Nsohop a ngwélél ngandak i len ini, hi yé malal ma nyega.","En fait, l’appât du Diable le plus efficace, c’est le sexe ."
106,Hipa hi ngui hipe Satan a ngwélél hi yé ngôñ i yi mam ma sôli mbus makañ.,Un autre appât que Satan utilise est la curiosité pour le surnaturel.
107,"Himbe hipa hipe hi ngui Satan a ngwélél, ni lelaa di nla keñgle hio?","Quel autre appât Satan utilise- t- il, et comment ne pas tomber dans le piège ?"
108,Ke ni bisu i yi njee a yé Yéhôva.,Continue d’apprendre à connaître Jéhovah.
109,"Le bôt bobasô ba yi le,",Tous les hommes doivent apprendre
110,"Inyu hala nyen, i nlôôha ba nseñ i nigil hoñol kiki Kristô.",C’est donc très important d’apprendre à penser comme Jésus.
111,Kii di gwé ngôñ i nigil mu ndémbél i Yéfta bo Hana?,b) Que voulons- nous apprendre sur Yiphtah et Hanna ?
112,"Ngeñ mut a ñunda le a ngwés yi njee a yé Yéhôva, Satan ni mimbuu nwé mimbe ba nyimbe jam li, ba noode ki kéñ mut nu njel le a yi bañ Djob.","Quand quelqu’un montre qu’il veut apprendre à connaître Jéhovah, Satan et les démons le remarquent et ils essaient de l’en empêcher."
113,Di nla gwélél ngéda bibégés bi ndap lihaa inyu nigil tjémbi ni bibañga gwap.,Nous pouvons profiter du culte familial pour nous entraîner à les chanter et à en apprendre les paroles.
114,"Di nke tehe kii ñañ Hiôb u niiga bés, ni lelaa Yéhôva a bi sôñ nye.",Voyons comment Jéhovah a protégé Job et ce que nous pouvons apprendre de ce qui lui est arrivé.
115,Ngim boñge i nla bana ngôñ i nigil i yi Yéhôva ikété dilémb diba,Certains enfants peuvent avoir besoin d’apprendre à connaître Jéhovah dans deux langues : leur langue scolaire et celle parlée chez eux.
116,"Ha nyen di nla yéñ yi i mam ma mpémél bôt bape, ni ma ba gwé ngôñ.","De cette façon, nous pourrons en apprendre plus sur leur situation et leurs besoins."
117,"I yé loñge i emble bañga yé yi,","Quoiqu’il soit bon d’écouter et d’apprendre,"
118,"Mbus ñwii ima, Pétrô a nigil ngandak mam inyu Yésu, ndi a ngi gwé ngandak i nigil","En deux ans, Pierre a appris énormément aux côtés de Jésus, mais il lui reste encore beaucoup à apprendre."
119,"Inyu lémél Yéhôva, di nlama nigil i gwés bôt bobasôna.","Pour plaire à Jéhovah, nous devons apprendre à aimer tout le monde ."
120,Lelaa bon banan ba nla ôt nseñ i nigil hilémb hinan?,Quels bienfaits vos enfants peuvent- ils retirer à apprendre votre langue ?
121,"Di nla ki nigil hilémb hipe, tole di ke nit libôga lipe i loñ yés, tole di ke i loñ ipe.","Nous pouvons aussi apprendre une autre langue, ou déménager dans une autre région soit dans notre pays, soit à l’étranger . w17.06 10-11 § 8-9."
122,Kii hihôha hi Asa hi nla niiga we?,Que pouvons- nous apprendre de l’erreur d’Asa ?
123,Ngim boñge ba wanda ba bi nigil hilémb hipe.,Des jeunes chrétiens décident d’apprendre une autre langue.
124,"A ndiihe niñ i mut binam, a gwéhék ki le hiki mut a tam bibéba gwé, a nigil i boñ loñge.","En effet, il accorde de la valeur à la vie et croit que chaque humain est capable de se repentir et d’apprendre à faire le bien."
125,"Lelaa i bana mahoñol ma Yéhôva inyu béba ni gwel bésbomede, i nsôñ bés ni maboñok mabe?",Pourquoi est- ce important de cultiver le même point de vue que Jéhovah sur le mal et d’apprendre à nous maîtriser ?
126,", 8. Inyuki i mbéda ngéda inyu somb maliga?",", 8. a) Pourquoi cela prend- il du temps d’apprendre à connaître la vérité ?"
127,Lelaa bagwal ba nla niiga bon bap i ti mayéga?,b) Comment des parents peuvent- ils apprendre à leurs enfants à se montrer reconnaissants ?
128,Bimbe biniigana u nla ôt mu ndémbél i Daniel?,Que peux- tu apprendre de l’exemple de Daniel ?
129,Bibel i nkal le mut pék a nti nyemede ngéda i nigil yi nje a yé Yéhôva.,La Bible dit qu’il est bien de se réserver du temps pour apprendre à connaître Jéhovah .
130,"Ibôdôl ni ngéda David a bé nkéñéé man, bagwal bé ba bi niiga nye i gwés Yéhôva.",Les parents de David ont commencé à lui apprendre à aimer Jéhovah quand il était bébé.
131,Inyuki ngim boñge i ntjél nigil hop u bagwal bap?,b) Pourquoi certains enfants sont- ils réticents à apprendre la langue de leurs parents ?
132,"Ibale mankéé wada a gwé ngim likeñge, tole a nsômbôl nigil i pañ bet ba gwé ngim ngap, kii a nlama boñ?","Si quelqu’un a des compétences dans le domaine de la maintenance ou aimerait apprendre en aidant ceux qui en ont, que devrait- il faire ?"
133,"Ngim mangéda ba bé ba ti bés tjobi di yômi, piya, ni diwônde.","Ils nous offraient souvent du poisson frais, des avocats et des arachides."
134,"* Kiki malép ma nti nkôt e niñ, hala nyen bipôdôl bilam bi nlôl i tomba hilémb bi nla hôyôs miñem mi baemble.","De même que l’eau redonne vie à un arbre desséché, une parole calme dite par une langue apaisante peut redonner le moral à celui qui l’entend."
135,"Jon hiki e i i num bé matam malam, ba nkit yo, ba leñ yo ikété hié.",Tout arbre qui ne produit pas de beaux fruits sera coupé et jeté au feu .
136,"Bilôk bikéé bi makoda momasôna bi nkôs nseñ mu mahôla ma nlôl bo ni njel manjap ma telepsép, hala wee minhook","Tous les membres de la congrégation chrétienne à travers le monde tirent profit du soutien et de la protection des grands arbres de justice , à savoir le reste oint."
138,"I wom Eden, a bi bat Eva le: Baa, hodo le Nyambe a nkal le, ni je bañ matam ma bie gwobisôna mu wom?","En Éden, il a demandé à Ève : Est- ce vrai que Dieu a dit que vous ne devez pas manger de tout arbre du jardin ?"
139,"Ngéda di nôgôl Yéhôva, Tata wés,","Tels de beaux arbres plantés près de sources,"
140,"Ngéda Éva a bi je litam li e i wom Éden, a bi ndogbene Isañ.","En mangeant du fruit de l’arbre en Éden, Ève a rejeté son Père."
141,"Ngéda u nyi toi umbe ntén mut u yé, u yé kiki e le i gwé minkañ nwé mi umi siñ siñ, kayéle mbuk mbebi a nla bé kwés yo","Celui qui a une identité forte ressemble à un arbre solidement enraciné, qui résiste aux violentes tempêtes."
142,Ane i i yé kiki soso e,Un royaume qui est comme un grand arbre
143,"Yésu a kal le: Hiki ee lam i num matam malam, ndi hiki ee be i num matam mabe . . .","Jésus a dit : Tout bon arbre produit de beaux fruits, mais tout arbre pourri produit des fruits sans valeur [...]."
144,"Yésu a nsôk a léba ki le mimpémba mi moo mi isañ, mi mi nkek bie, mi kanak bikék, mi gwéélak hama inyu tômôl mabam, mi nla ki siinga nye limañ inyu hôgbaha nye, nyañ, loñni bilôk binyañ bi bôlôm ni bi bôda.","Jésus constate également que ces mains puissantes, qui abattent des arbres, scient des planches et assemblent les pièces de charpente à grands coups de marteau, savent tout autant le réconforter lui, sa maman ou ses frères et sœurs d’une caresse sur la joue."
145,"Yésu a mpôdôl litén li Yuda, li li yé kiki e i i yé wo, inyule Yésu a ngi niñik, nye ni ngim bon i Lôk Yuda i i nhémle nye.","Elle est comme un arbre en train de mourir, mais dans lequel il reste un peu de vie, puisque Jésus est présent, tout comme de nombreux Juifs qui ont foi en lui."
146,"Kiki Éva a bé kenek ni bisu i béñge litam li, hala nyen ngôñ i je jo i bé keñep.","Plus elle regardait les fruits de l’arbre interdit, plus elle en voulait."
147,"Kiki malép ma nsunhe e, ma tinak yo niñ, hala ki nyen bipôdôl bilam bi nla hôyôs miñem mi baemble.","Tout comme un arbre magnifique peut avoir un effet stimulant et redonner de la vie, des paroles gentilles peuvent redonner de l’énergie à quelqu’un."
148,"Bibuk ni hop Grikia bôt ba nkobol le mbasa, i maliga bi nkobla le kék i téé, mbiñ, tole e.","Les mots grecs qui sont traduits par croix veulent dire poteau , bois ou arbre ."
149,Ni imbe njel Farisai i yé kiki mbôô e?,En quel sens les pharisiens sont- ils comme un arbre pourri ?
150,"Me bi solop i mbus nkok e, hala nyen me boma bisônda bi me mbôk me añle bé.","Je me suis tapi derrière un arbre couché, ce qui a conduit à ma rencontre avec les soldats évoquée en introduction."
151,"Mbañ inyu soso ôñgba, ni mbôm e, bi ñéba le Ane Yéhôva i yé bebee i sas bibéba gwobisôna, y’a énél ki hisi.",Les prophéties de la grande image et de l’arbre immense sont la garantie que le royaume de Jéhovah va bientôt supprimer la méchanceté et gouverner la terre.
152,"Di yoñ hihéga hini: Ngéda ba nup bie inyu ke bel gwo homa mpe, hala a yé a ba ndutu ngandak.","Prenons un exemple : Quand on déplace un arbre, il subit un stress."
153,Ane i i yé kiki soso e,Un royaume qui est comme un grand arbre
155,E: biyônôl bi bitelbene bi Djob inyu malômbla ni Abraham,L’arbre : l’accomplissement du projet de Dieu concernant l’alliance abrahamique.
