,french,bassa
59,"Dans la congrégation, certains chrétiens ont besoin de plus de temps pour parvenir à la maturité spirituelle, tout comme sur un arbre certains fruits mûrissent plus lentement que d’autres.","Kristen ihogi i nyoñ ngandak ngéda inyu hol i pes mbuu, nlélém kiki matam ma e momasôna ma nhôlôl bé hilo hiada."
60,"Avant d’arrêter un cours biblique, prie Jéhovah pour qu’il te guide.","Ilole u ntéé ngim yigil i Bibel, toñ sômbôl i Yéhôva ni njel masoohe."
61,"Le corps entre aussitôt en action pour arrêter le saignement, dilater les vaisseaux sanguins, réparer la blessure et renforcer les tissus.","Kunda yada, nyuu i mbôdôl sal inyu kit matjél, yibil minkañ, mélés mbabaa, ni lédés nsôn."
62,"En arrivant à Harân, il s’arrête à un puits, avec les autres serviteurs, parce qu’il sait que des gens vont bientôt venir y chercher de l’eau.","I ngéda Éliézer ni ba bagwélél bape ba bi pam i Haran, ba bi telbene i bee malép inyule Éliézer a bé yi le bôt ba bé bebee ni lo i ap malép."
63,"Mais nous allons nous arrêter sur un autre exemple remarquable d’amitié, celui de David et de Yonathân.",Ndi hihéga hilam hipe hon di ga wan nano. Liwanda ipôla David bona Yônatan.
64,Le roi Artaxerxès fait arrêter la construction,Kiñe Artaserses a ntéé maoñ
65,J’ai dû m’arrêter pour méditer sur cet incroyable repas prophétique de la Pâque !,"I bi mbéda me le me telep, me yoñ ngéda i tehe lelaa Ngand Pasa i yé mbañ i mbuma ñañ!”"
66,"Le 23 janvier 1962, juste après l’assemblée, Andrew D’Amico, qui était missionnaire, et moi avons été arrêtés au Béthel. Le stock des Réveillez-vous !","Hilo 23 hi sôñ Kondoñ hi nwii 1962, mbus likoda li ndôn, bisônda bi bi gwel me ni nsañal nu loñ ipe le Andrew D’Amico i hikuu hi loñ, bi kadal ki 23 minkuu mi ba Tôde ’ilo!"
67,Mais je ne voulais pour rien au monde arrêter mon service de pionnier.,Ndi me bééna bé ngôñ le yom yo ki yo i boñ me le me téé nson wem u nsañal.”
68,"Soudain, le petit garçon s’arrête, l’air perturbé.","Kunda yada mañge a telep, su wé u ñunda le jam li yé téñga nye."
69,"Tous les jours j’étais assis dans le Temple en train d’enseigner, et pourtant vous ne m’avez pas arrêté.","Hiki kel, me bééna lem i yén ikété témpel inyu niiga, ndi ni bi gwel bé me."
70,Arrête- toi sur quelques-unes des choses extraordinaires que Jéhovah accomplit par l’intermédiaire de ses serviteurs imparfaits mais volontaires.,Di béñge ndék mam malam le Yéhôva a mboñ ni njel bagwélél bé to hala kii ba yé bikwéha bi bôt.
71,"Par exemple, quand les Sadducéens se sont opposés à eux, ils n’ont pas voulu arrêter de prêcher en son nom .","Ngéda ntôñ Sadukai u bi yéñ sôña bo i niiga i jôl li Yésu, baôma ba bi tjél boñ hala. —Minson mi baôma 5:17, 18, 27-29."
72,Jésus allait très bientôt être arrêté.,Ngéda i bé bebee ni kola le Yésu a gwéla.
73,Il lui a demandé de prêcher aux habitants de Juda et de leur dire d’arrêter de faire des choses mauvaises.,"A bi kal nye le a tééne bo likalô, a béhe ki bo, le ba waa boñ mam mabe."
74,Jésus et Pierre sont montés dans le bateau et la tempête s’est tout de suite arrêtée.,"Ngéda Yésu bo Pétrô ba bi jôp i môñgô, i nlélém ngéda, mbuk mbebi a mom nwee."
75,Jérémie n’a jamais arrêté de parler de Jéhovah,Yérémia a bi waa bé pot i jôl li Yéhôva
76,"Et quelques jours plus tôt, les autorités religieuses ont conspiré pour arrêter Jésus et le tuer .","Ñ, nwaa le bikééhene bi mbôdôl, ba bi mal kéés Yésu, ba pémés ki nye mbagi nyemb!"
77,"Les astrologues la suivent jusqu’à ce qu’elle s’arrête, juste au-dessus de la maison où Joseph et Marie vivent à présent avec leur jeune fils.",Bayitjôdôt ba noñ hiôdôt letee hi ntelep i ngii ndap het Yôsep bo Maria ba niñ nano ni man wap.
78,"Mais si tu arrêtes de servir Jéhovah, tu te rendras vite compte que personne au monde ne t’aime plus que tes parents chrétiens et ta congrégation.","Ndi ibale u nwas le njôô i tinde we i tjôô Yéhôva, u ga léba le mut to wada a ta bé le a tôñ toi we iloo bagwal boñ, ba ba nkon Yéhôva woñi, yak ni likoda joñ."
79,"À propos de celui sur Marthe, une lectrice a écrit : « J’ai ri quand je l’ai lu parce que je suis exactement comme Marthe ! Je veux toujours bien recevoir mes invités, du coup, j’oublie parfois de m’arrêter et d’apprécier leur compagnie.","Nsoñgol wada a nkal le: “Me bi nol hiol ngéda me bi añ ñañ u Marta inyule me ni nye, di yé nlélém! Me ngwés me leege bakén. Ndi ngim mangéda, me yé me hôya le i mbéda le me nwas bibôlô gwem inyu kwel ni bakén bem.”"
80,"RÉSUMÉ : Arrête- toi sur les solutions plutôt que sur les problèmes, et sur des idées qui pousseront tes auditeurs à l’action.","I SEM KWEP: U lôôha bañ yigye mandutu bôt ba mboma, ndi yigye mam ma nla hôla bo i yémbél mo, mam ma nti bo ngui ni botñem."
81,"Si tu es dans une situation semblable, demande- toi : « Mon conjoint exige- t- il que j’arrête d’adorer Jéhovah ?","Ibale yak we u mboma nlélém jam, badba le: ‘Baa nlô wem a mbat me le me waa bégés Yéhôva?"
82,Mais il a dû arrêter pour s’occuper d’un proche malade.,"Ndi, a bi téé nson u makiiña inyu tééda mut wé lihaa wada nu a bé kon, nano a yé ntéé likalô ikété likoda."
83,Les pharisiens détestaient Jésus et ils cherchaient une raison pour l’arrêter.,"Lôk Farisai i bé oo Yésu, i yéñék manjel i gwel nye."
84,"» Il accepte de plein gré d’être arrêté, comme il l’explique : « Comment s’accompliraient les Écritures, qui disent que cela doit se passer ainsi ?","Yésu a yé bebee i nwas le ba gwel nye, inyu hala nyen a ntoñol le: “Lelaa ni mam mana ma ga bôña inyu yônôs jam Bitilna bi bi kal?”"
85,Certains savaient que David s’était arrangé pour qu’Ouriya soit tué.,Bôt bape ba bé yi minsômba David a bi boñ inyu nol Uria.
86,"Et depuis, les choses ne se sont pas arrangées !","Ndi ibôdôl i mamélél ma Gwét bi Ntôla II, bôt ba binam ba nigil bé i keñgle gwét."
87,"Alors, pour que la prédication puisse s’effectuer, nous obéissions aux lois, en espérant que les choses finiraient par s’arranger.","Jon, inyu yônôs nson wés likalô, di bi noñ mbén i, di ban-ga botñem le mahéñha m’a bôña."
88,"Les mariages arrangés sont souvent des réussites, comme c’était déjà le cas aux temps bibliques.","Kiki i ba ngéda Bibel i tilbana, mabii bagwal ba ñat, ma mbéna ke loñge."
89,Il s’est arrangé avec le diocèse pour que je retourne au couvent de Saragosse.,"Jon i pada i, i bi tjek mam ni bisop le me témb i siksa i Saragôsa."
90,"Par contre, ils s’efforcent d’aider toutes les personnes concernées à mettre en application les Écritures et à tomber d’accord sur un arrangement amiable.","Ndi, ba nyéñ hôla bet ba gwé mindañ le ba noñ matiñ ma Bibel, ba sangal ki ndañ wap ikété nsañ."
91,"12 Dans certaines cultures, les mariages sont arrangés par les familles : ce sont les parents qui choisissent le conjoint de leur fils ou de leur fille.",12 Ngandak biloñ i gwé lem i nwas le bagwal bon ba pohol sobiina inyu lok yap tole inyu ngond yap.
92,"20 Pour beaucoup de nos contemporains, le mariage est un arrangement temporaire.",20 Ngandak i ntehe libii kiki jam li li yé ndigi inyu ndék ngéda.
93,Qu’est- ce que la Bible nous apprend à propos des mariages arrangés ?,Bimbe biniigana di nla ôt ikété Bibel mu kii bagwal ba mpohol sobiina inyu bon bap?
94,J’aimais arranger les fleurs de l’église et habiller les statues de la vierge et des « saints ».,"Me bé ki me ngwés me mbôñgôl mbônji i i bé i ndap base, ni bititii bi Maria ni bi “bapubhaga.”"
95,Les principes de la Bible peuvent t’aider à obéir à ceux qui détiennent une autorité.,Matiñ ma Bibel ma nla hôla we i nôgôl i bet ba gwé kunde i ngii yoñ.
96,"Ces hommes collectent l’impôt pour les autorités romaines, tant détestées : ils taxent les bateaux qui s’arrêtent dans les ports, les caravanes qui circulent sur les axes principaux et les importations.","Ba nyoñ tas i ngii bisitima bi nlo libôñ, ni ipañ bôt ba nyuñga ba nkil minloñ ni kamél, ni i ngii gwom bi nyuñga bi njôp i nkoñ."
97,Un père chrétien imite la manière dont Christ exerce l’autorité.,Isañ mbai nu a yé kristen a nigle Yésu ngeñ i pam i gwélél kunde a gwé ngii man wé
98,Il exerce son autorité avec une justice parfaite.,A ñénél ni telepsép i yôni.
99,Comment les enfants peuvent- ils montrer qu’ils respectent l’autorité ?,Lelaa boñge ba nla unda le ba ndiihe kunde i bagwal i ngii yap?
100,Jéhovah exerce son autorité avec amour.,Yéhôva a ñénél ni gwéha.
101,"Mt 11:29, 30 : La soumission à l’autorité et aux instructions de Christ apporte du réconfort .","Matéô 11:29, 30 —I suhus bésbomede isi énél i Kristô, i nlona bés hogbe"
102,"Si nous témoignons le respect qui convient envers l’autorité, quels bienfaits peuvent en résulter ?",Bimbe bisai di nkôhna ngéda di nti bôt lipém?
103,Il a aussi l’autorité d’établir des dirigeants.,Yéhôva a gwé yak kunde i téé bôt bape kiki baane.
104,"Le péché et l’imperfection des humains remontent à un passé lointain, à l’époque où, dans le jardin d’Éden, Adam et Ève se sont rebellés contre l’autorité de Dieu.","Béba i mut binam ni libak li kwéha li bi bôdôl behee behee, muu i wom Eden ngéda Adam bo Eva ba bi kolba énél i Djob."
105,Nous montrons notre respect pour ces autorités en nous conformant aux lois du pays.,Di ñunda le di nti ngomén lipém ngéda di nôgôl mambén ma loñ.
106,Le mari témoigne du respect pour son Chef Christ Jésus en imitant la manière dont Jésus exerce l’autorité sur la congrégation .,Balôm ba nlama ti Yésu Kristô nu a yé ño wap lipém. Ba mboñ hala i ngéda ba nkôna lelaa Yésu a ñénél likoda.
107,"Mt 20:20, 21 : Deux apôtres ont demandé pour chacun d’eux une place d’honneur et d’autorité .","Matéô 20:20, 21 —Baôma iba ba bi bat le ba ti bo tel i lipém ni kunde i ngii bôt bape"
108,Comment pouvons- nous montrer que nous respectons l’autorité dans l’assemblée ?,Lelaa di nla unda le di ndiihe kunde i i yé ngii yés ikété likoda?
109,"4, 5. a) Comment une femme doit- elle considérer l’autorité de son mari ?","4, 5.  Kiki munlôm nyen a yé ño u lihaa, nson wé u yé le kii?"
110,"Dans certains pays, des adolescents qui avaient envoyé des sextos ont été accusés par les autorités de délinquance sexuelle.","I ma pam le ngomin a kit le disii di boñge di mbôk mbén i loñ, inyule ba mboñ sexting."
111,"En manifestant du respect pour l’autorité des anciens, nous obéissons à Jéhovah. — Hébreux 13:17.","Ngeñ hiki wada wés a nti mimañ mi likoda lipém, Yéhôva nyen a nôgôl. —Añ 1 Tésalônika 5:12; Lôk Héber 13:17."
112,10 Nous respectons également l’autorité parce qu’il est foncièrement de notre intérêt de le faire.,10 Di nti ki bet ba gwé kunde i ngii yés lipém inyule hala a yé loñge ngandak inyu yés.
113,"Nous avons constaté que pour être heureux tant dans le couple que dans l’assemblée, il faut respecter l’autorité, être toujours prêt à pardonner, rester humble et manifester le fruit de l’esprit.","Di bi léba le inyu ba maséé ikété ndap lihaa ni likoda, di nlama ti i bet ba éga bés lipém, di bak bebee i nwéhél, i tééda libak li suhulnyuu, di boñ ki biliya i hôlôs litam li mbuu."
114,"Comment le péché et l’imperfection sont- ils apparus et, du fait de notre nature pécheresse, pourquoi avons- nous du mal à respecter l’autorité ?","Lelaa béba ni libak li kwéha li bi bôdôl, inyuki libak li kwéha li ntinde bés i kolba bet ba gwé kunde i ngii yés?"
115,b) Pourquoi peut- on dire qu’Abigaïl ne s’est pas rebellée contre l’autorité légitime de son mari ?,Inyuki jam Abigail a mboñ li nkobla bé le a nkolba tel i nlôm kiki isañ mbai?
116,"Et, finalement, de quelles manières pouvons- nous démontrer notre respect de l’autorité ? ’",Mambe manjel di gwé inyu ti bet ba gwé kunde lipém?’
117,"De cette façon, elle montrera qu’elle respecte l’autorité que Jéhovah a établie dans la famille et dans l’assemblée .","Ni njel i nyen a ñunda le, a ndiihe bitelbene bi Yéhôva inyu éga lihaa, lôñni likoda. —Béñge Ndoñi 15, i mamélél ma kaat."
118,3 Abordons rapidement deux raisons pour lesquelles il est parfois si difficile de respecter des personnes qui détiennent une autorité.,3 Di noode wan manjom ima ma nhôla bés i yi inyuki i ti bet ba gwé kunde lipém li nlet ngandak inyu yés.
119,"Quand nous respectons l’autorité dans notre famille, l’autorité dans l’assemblée et l’autorité des représentants du gouvernement, tout le monde est gagnant .","Ngéda di neebe i suhus bésbomede i si bet ba gwé kunde i ngii yés ikété ndap lihaa, ikété likoda, ni i si baane, bés bobasôna di ga kôhna bisai. —Ndiimba Mbén 5:16; Rôma 13:4; Efésô 6:2, 3; Lôk Héber 13:17."
120,"2 Dans une telle situation, comment aimerais- tu que l’on agisse avec toi ?",2 Noode ki hoñol lelaa w’a gwés le bape ba leege we ibale wen u mboma nlélém jam.
121,Jésus vient d’encourager ses apôtres en discutant avec eux à cœur ouvert.,"Yésu a ntip kwel ni baôma bé inyu lédés bo, a nyible bo ñem wé."
122,"Proclamons avec joie, courage","Ni woñi u Djob nyen di nsal,"
123,3 Biographie : J’ai retiré des bienfaits à marcher avec des sages,3 Ñañ u niñ i bôt —Me bi kôs nseñ i hiôm ni bôt ba pék
124,Ils voulaient rompre tout lien avec la fausse religion !,Ba bééna ha bé ki ngôñ i bana maada mo ki mo ni kwéha base!
125,En mesurant le tissu avec un mètre.,Ndik ngéda b’a hek libatô lini ni méta.
126,"Départ pour la prédication avec Demetrius Papageorge, un frère oint qui a commencé à servir Jéhovah en 1913.","Me yé i likalô ni Demetrius Papageorge, nhook u kristen u u bôdôl gwélél Yéhôva i ñwii 1913"
127,10 Nous devons aussi être honnêtes avec nos frères et sœurs chrétiens.,10 Di nlama ki ba maliga ipañ bilôk bikéé gwés bi bôlôm ni bi bôda i pes mbuu.
128,"21 C’est avec raison que Jésus nous a dit de chercher le Royaume, pas les choses matérielles.","21 Yañga bé nyen Yésu a bi niiga bés i yéñ Ane, he gwom bé."
129,Que signifie mener à bien son propre salut « avec crainte et tremblement » ?,Kii i sal inyu tohi yés “ni woñi ni sehla” i nkobla?
130,Ceux qui vivent en accord avec leur vœu sont alors protégés spirituellement .,"Bikristen bi nti bomede nkikip yak Yéhôva —ha mut binam bé, to ngim nson, to ngim ntôñ."
131,Quel genre de paroles renforcent nos relations avec les autres ?,Mimbe mintén mi bipôdôl mi nhôlôs?
132,Mais nous avons passé des moments très joyeux avec eux.,"Ndi i tégbaha ngéda ni baudu ba, i bi ba loñge ngéda kiyaga."
133,Venez avec moi !,A loo meeni!’
134,Comment sœur Pötzinger* a- t- elle utilisé son temps avec sagesse durant son isolement ?,Lelaa Sita Pötzinger* a bi gwélél ngéda yé ni pék i ngeñ a bé i ndap yé mok nyetama?
135,"Qu’apprenons- nous de la façon dont Osée a agi avec sa femme, Gomèr ?","Ngéda di nhoñol lelaa Hôséa a bi niñ ni Gômer, kii hala a niiga bés?"
136,Qu’est- ce qui peut nous aider à être honnêtes avec nous- mêmes ?,Kii i nla hôla bés i ba maliga ni bésbomede?
137,« J’étais en conférence téléphonique avec deux frères.,“Di bé bôt baa i kwel i téléfôn.
138,"Satan sait que, pour nous dévorer, il doit réussir à affaiblir nos bonnes relations avec Jéhovah.","Satan a nyi le ibale a mboñ le maada més ni Yéhôva ma sôs ngui, a nla milba bés."
139,« Suis Jésus avec de bons mobiles »  :,“Noñ Yésu ni mahoñol malam”:
140,Il était généreux avec les pauvres.,A bé hôla diyeyeba ni ngoo bôt.
141,"Et tout ce que vous demanderez dans la prière avec foi, vous le recevrez » .","Mam momasôna ni mbat ikété masoohe, ni ban-ga hémle, n’a kôhna mo.”"
142,b) De quoi pouvons- nous être sûrs en rapport avec la tyrannie ou la maltraitance familiales ?,Kii hala a niiga bés inyu bôt ba ntét bôt bap ba lihaa tole ba nkép bo mbai?
143,"Beaucoup ne nous disaient plus bonjour, et se comportaient avec nous comme si nous avions été [excommuniés]. »","Ngandak i bé tjél yéga bés, ba yoñok ndik bés kiki bôt ba mpémés ntôñ.”"
144,"Avec Oris, ma vie s’est encore embellie.","Ni Ôris, me bi tégbaha loñge ngéda"
145,"Ils nous offraient souvent du poisson frais, des avocats et des arachides.","Ngim mangéda ba bé ba ti bés tjobi di yômi, piya, ni diwônde."
146,"Elle répond : « Dans la banque où je travaille, je suis souvent en contact avec des avocats.","A nkônde le: “I homa wem bôlô, me nsal nano ni ngandak biloya."
147,"Si un chrétien pense être victime d’une injustice, il devrait veiller à ne pas se livrer au bavardage.","Ngéda kristen i nhoñol le ba yé i boñ nye mam ma ma téé bé, a nlama yoñ matat le a kwo bañ hilégé."
148,Tout bavardage est- il condamnable ?,"Baa ndi, i pôdôl bôt i yé béba ngéda yosôna?"
