,french,bassa
28,Is 50:1 : Pourquoi Jéhovah a- t- il demandé aux Israélites : « Où donc est l’acte de divorce de votre mère ?,"Yésaya 50:1 —Inyuki Yéhôva a bat bon ba Israél le: “Kaat sagal libii i yé ni hee, i me ti nyuñ?”"
29,"Ils s’efforcent d’être généreux dans toute la mesure du possible, ce qui leur vaut une joie intense .","Ba ‘nyaaba ki ni botñem,’ ba ban-ga ñem ñwee, ba konok ki maséé ni gwom ba gwé."
30,"Par la suite, il décrira ce qu’il ressentait envers les disciples : « J’étais furieux contre eux à l’extrême » .",I mbus ngéda a bi toñol mahôñol a bééna inyu banigil ba Kristô: “Me lôôha nyai ikolba bo.” — Minson mi baôma 26:11.
31,Les actes de Caïn laissent rapidement paraître son absence de foi authentique et d’amour pour Dieu.,"Kain a bééna bé bañga hémle, a bé gwés bé to Djob; jon minson nwé mi bi pala yelel libak jé."
32,"11 Si nous considérons notre ministère comme un trésor, nous continuerons de prêcher malgré la persécution, comme Paul .","11 Ibale di ndiihe nson wés likalô, di ga ba kiki ñôma Paul nu a ke ni bisu i añal ñañ nlam ikété ngolba."
33,"Lève- toi, fais- toi baptiser .","Telep, u sôblana. —Minson mi baôma 22:16."
34,10 Jéhovah a parlé du roi David comme d’« un homme selon [s]on cœur » .,10 Yéhôva a bi pôdôl Kiñe David kiki “mut kingéda ñem [wé].”
35,"Ces commandements sont nécessaires, mais ils n’impliquent pas de suivre la Loi mosaïque. — Actes 15:28, 29.","Linoñ “mam mana” li yé nseñ, ndi hala a nyégsa bé bo i noñ Mbén Môsé. —Minson mi Baôma 15:28, 29."
36,"Et, dans un cas rare, Corneille et ceux de sa maison ont été oints avant d’être baptisés .","Jam li tôbôtôbô li yé ki le, Kornéliô ni bôt ba ndap yé, ba bi yila minhook iloo yaga le ba nkôs sôble. —Minson mi baôma 10:44-48."
37,"Si, par exemple, un homme marié commet un acte sexuel immoral, sa femme peut décider de divorcer d’avec lui.","Kiki hihéga, ibale munlôm a nkwo i malal ma nyega, nwaa wé a nla pohol i bos ni nye tole i yén ni nye."
38,Vos décisions et vos actes prouvent- ils que vous soutenez sans réserve le Royaume de Dieu ?,Ba makitik moñ ni magwelek moñ ma ñéba le u nyoñ pes i Ane i Djob ni ñem woñ wonsô?
39,Célébrons ses actes prodigieux.,"Minson nwé mi hélha, di ñañal."
40,"Nous pouvons aussi apprendre une autre langue, ou déménager dans une autre région soit dans notre pays, soit à l’étranger . w17.06 10-11 § 8-9.","Di nla ki nigil hilémb hipe, tole di ke nit libôga lipe i loñ yés, tole di ke i loñ ipe. —Minson mi baôma 16:9, 10. w17.06 10, 11 § 8, 9"
41,"» Après avoir retrouvé la vue, Saul s’est mis « à prêcher dans les synagogues [de Damas] au sujet de Jésus, proclamant que celui-ci est le Fils de Dieu » .","I mbus le Saulô a bi témb a bôdôl tehna, ha i tison i Damaskô, ‘a bi bôdôl téé likalô inyu Yésu . . . a kalak le a yé Man Nyambe.’ —Minson mi baôma 9:15, 20."
42,"Alors, trouve- la par toi- même en « examinant soigneusement les Écritures chaque jour » .",Jon “wan Bitilna hi kel” inyu boñ le ‘wemede nyen u léba maliga.’ —Minson mi baôma 17:11.
43,"Ce travail consiste- t- il simplement à accomplir un service d’utilité commune, qui n’est pas lui- même contraire aux Écritures ? — Actes 14:16, 17.","Baa bôlô ini i yé ndigi nson u mboñ bôt ba binam loñge ibabé i bôk mbén Djob? —Minson mi baôma 14:16, 17."
44,« À partir d’un seul homme [Dieu] a fait toutes les nations pour qu’elles habitent sur toute la terre » .,"“Inyu mut wada nyen [Nyambe] a boñ le hi loñ bôt i lôl, le ba yén mu nkoñ isi wonsôna.”"
45,Lisez Actes 15:1-35 pour voir comment le collège central du Ier siècle a examiné et résolu un problème à l’aide des Écritures et grâce à l’esprit saint.,"Inyu yi lelaa Juu li Bakena Ntôñ i hiai bisu li bi sugus ngim pééna, ni mahôla ma Bitilna ni mbuu mpubi, añ Minson mi baôma 15:1-35."
46,Des chrétiens influencés par ce qu’ils avaient pris l’habitude de regarder ont commis des actes immoraux.,"Kiki ba bé béñge biliñge liñge bi ñunda ndéñg, bomede ba bi sôk ba ke ndéñg."
47,Pourquoi des milliers d’Israélites ont- ils commis des actes sexuels immoraux ?,Inyuki dikôô di bon ba Israel di bi kwo hiandi hi malal ma nyega?
48,JOYAUX DE LA PAROLE DE DIEU | ACTES 27-28,MASÔÔ MA NKUS MA BIBEL | MINSON MI BAÔMA 27-28
49,"En tant que collège central, ces frères donnaient une direction à l’ensemble des congrégations .","Kiki ba bé gwel nson u juu li bakena ntôñ, ba bé éga makoda momasôna. —Minson mi baôma 15:2."
50,"D’ailleurs, Luc écrit qu’au moment de la naissance de Jésus, “ des bergers [...] vivaient en plein air ” pour garder leurs troupeaux .","* Lukas a ntoñol le ngéda Yésu a bi gwéé, “batééda mintômba ba [bé] ba yii i bikai” inyu tééda mintômba nwap."
51,"Soudain, le petit garçon s’arrête, l’air perturbé.","Kunda yada mañge a telep, su wé u ñunda le jam li yé téñga nye."
52,"” . Aux Éphésiens, il a dit : “ Vous marchiez jadis selon [...] ce monde, selon le chef du pouvoir de l’air, l’esprit qui opère maintenant dans les fils de la désobéissance. ” — Éphésiens 2:2, 3.","Paul a kal bikristen bi Efésô le: “Ni bé hiumul ngéda bisu kingéda bilem bi nkoñ isi unu, kingéda ñane nu a gwé kunde nyoo mbebi, ngii mbuu u u nsal hanano ikété bon ba ndok.” —Efésô 2:2, 3."
53,"8 L ’“ air ” du monde, c’est-à-dire son esprit, est une force d’impulsion invisible qui pousse à désobéir à Dieu et qui alimente “ le désir de la chair et le désir des yeux ”.",8 “Mbebi” tole mbuu u nkoñ isi u nene bé i mis. U yé ngui i ntinde mahoñol ma bôt i ndogbene Djob ni i niñ inoñnaga ni “minheña mi minsôn ni minheña mi mis.”
54,"5 Derrière son air de supériorité, le harceleur cache souvent un mal-être profond.","5 U héa bibuk bi ngôk ba nleñ, bôt ba nyumbla ba nkon woñi."
55,"Si les bergers avaient eu l’habitude de vivre “ en plein air ” toute l’année, ce détail n’aurait pas mérité d’être relevé.","Ibale batééda mintômba ba bana lem i lal i bikai ñwii woñsôna, ki Bibel i bi pôdôl bé jo kiki jam li tôbôtôbô."
56,"Par exemple, j’ai prononcé mon premier discours public de surveillant de circonscription devant une épicerie de village, en plein air.","Kiki hihéga, me bi ti nkwel wem mbamba u bisu kiki ngwélél makiiña i bisu bi bisabe bi ngim mbai."
57,"Toutefois, Bethléhem étant sujette à des pluies froides et à des chutes de neige, les troupeaux étaient rentrés à l’abri et les bergers ne vivaient pas “ en plein air ”.","I ngéda ñwii i i Bétléhém, i bé ngéda lisuni ni banop, ni ngéda ditatam di lisuni di di nkwo kiki nop, di pôbôk . Bémba i bé bé le i ba “i bikai,” to batééda mintômba."
58,"Zekaria voit voler dans les airs un rouleau d’environ 9 mètres de long et 4,50 mètres de large !","Sakaria a bi tehe nhôôk kaat u mpuue i ngii, ntel wé u bé méta 9, ni pôk yé méta 4 ni pes!"
59,Simon observe la scène d’un air désapprobateur.,"A nsos makôô mé, a hook mo labinde."
60,"Pour la première fois depuis des années, il avait l’air heureux.","Inyu ngélé bisu ikété ngandak nwii, a bé nene maséé."
61,25-26. a) Pourquoi l’amour et la justice sont- ils comparables à l’air et la vie ?,25-26.  Inyuki di nla kal le maada ma yé ipôla gwéha ni telepsép ma mpôôna ma ma yé ipôla nhébék ni niñ?
62,"Quand l’enfant rira dans l’air léger,","Boñge ba ga hak mu dikôa,"
63,"Un aigle peut planer des heures, en utilisant des courants thermiques, des colonnes d’air chaud ascendant.","Nyôgôl u nla tégbaha ngandak ngeñ i ngii, u gwéélak ngim ntén u mbébi i i mbet inyu puue ibabé nye i bép bipapai gwé."
64,"Cet esprit exerce un “ pouvoir ” parce qu’il flatte la chair pécheresse, mais aussi parce qu’il se manifeste sournoisement, constamment, et parce qu’il est partout, comme l’air qui nous entoure.","Mbuu u, u gwé “kunde” i ngii nkoñ isi inyule u nyuñgul nyuu minsôn, ni le u nyoña mut ndék ni ndék kayéle a nôgda bé, u salak ki ngéda yosôna, u bak ki homa nyensôna kiki mbebi di nhép."
65,"Si tu ne le faisais pas, cela reviendrait à « battre l’air », à ne pas t’opposer pleinement à ton adversaire.","Ibale u mboñ bé hala, wee u yé ‘bép mbebi,’ u ta bé kolba ñoo woñ kiki i nsômbla."
66,"25 L’air et la vie n’existent pas l’un sans l’autre sur terre. De même, l’amour et la justice sont indissociables.",25 Maada ma yé ipôla gwéha ni telepsép ma mpôôna ma ma yé ipôla nhébék ni niñ; gwobiba bi nkiha ndigi ntôñ.
67,"Nous avons demandé ce qu’elles voulaient dire, mais personne n’avait l’air de le savoir, ou s’ils le savaient, ils refusaient de nous le dire » .","Di bi bat le bibañga bi, bi nkobla le kii, ndi i bé nene le mut nye ki nye a bé yi bé ngobol yap, to ibale a bé yi, a bé bé le a kal bés.”"
68,Jéhovah a mis en place des cycles écologiques qui purifient l’air et l’eau.,Yéhôva a bi tjek mam manoñ manoñ kayéle mbebi ni malép bi mpubus gwomede.
69,"9 Comme l’air que nous respirons, l’esprit du monde est tout autour de nous.",9 Mbuu u nkoñ isi u nkéña bés kiki mbebi i di nhép.
70,"Le fait que ces bergers vivaient en plein air avec leurs troupeaux confirme la chronologie biblique. La naissance du Christ n’a pas eu lieu en décembre, époque où les moutons auraient été mis à l’abri plus près des habitations. Elle a plutôt eu lieu vers le début d’octobre.","Libak le batééda mintômba ba bé lal i mbégdé inyu tat bilém gwap, li nit i jam Bibel i ñunda: Yésu a bi gwéé bé i sôñ jôm ni iba inyule mu sôñ i, ba bé tééda mintômba bebee ni mandap inyu boñ le mi yén bañ i mbégdé. Yésu a bi gwéé i bibôdle bi sôñ jôm."
71,"Portées par leurs ailes puissantes, elles plongent vers le récipient contenant « Méchanceté » et l’emportent dans les airs.","Bôda ba, ba ngwélél bipapai bi ngui inyu jôp isi éfa ni paa muda “Biyabda” mukété."
72,"Clairvoyant, le père devine certainement à l’air triste et abattu de son fils qu’il est repentant.","Isañ a mbéñge, a tehe le man a môdi, a yimbe le man wé a nhiel toi ñem."
73,"Mais Ashpenaz leur a répondu : “Si vous ne mangez pas sa nourriture et qu’il trouve que vous avez l’air malades, il va me tuer !”","Aspénaz a timbhe bo le: ‘Ibale ni nje bé, ndi kiñe i tehe le masu manan ma mbai bé, a’ nol me!’"
74,"Après les dix jours, Daniel et ses trois amis avaient l’air en meilleure santé que tous les autres garçons.","Jôm di dilo di tagbe bañ, Daniel ni mawanda mé momaa ba bé nene mbôô iloo tini diloga dipe tjodisôna."
75,Il a ajouté : « J’ai acheté celle-là parce qu’elle ne coûtait que cinq centimes.,"A kal le: “I kaat i yon me nsomb, kiki i nhee bé diye.”"
76,Le récit ajoute : « Jéhovah lui accorda de concevoir et elle mit au monde un fils.,"I mbus, Bibel i nkal le: “Yéhôva a boñ nye le a nembee, a gwal ki man munlôm.”"
77,Il ajoute qu’aujourd’hui sa femme et lui dirigent 15 cours bibliques et que plusieurs frères et sœurs inactifs assistent aux réunions de la congrégation.,"A nkal ki le nye ni nwaa ba ntégbaha 15 gwigil bi Bibel, ni le ngandak lôk kéé i i bi bomb i pes mbuu, i bi bôdôl lo i makoda."
78,"« Je sais que tout ce que tu demanderas à Dieu, Dieu te le donnera », ajoute- t- elle .",A nhoñol le Yésu a nla ki hôla manyañ.
79,» Isabella ajoute : « Je ne voulais pas que Jéhovah ait honte de mon travail simplement parce que je remettais à plus tard les choses importantes.,"Izabella nye: “Me nsômbôl bé me le, Yéhôva a wo nyuu ni bôlô me nsal, ndik inyule me gwé lem i timbis mam ni mbus.”"
80,"Elle poursuit : « J’avais déjà assez de soucis comme ça, sans ajouter les inquiétudes à propos de choses qui ne s’étaient pas produites et qui ne se produiraient probablement jamais. »","A nkônde le: “Me bééna ndugi mandutu, i bé béda bé le me kônde mape, nduña inyu mam ma yé ngi lo, tole bebek inyu ma ma ga lo bé to.”"
81,"» Olinda ajoute avec un sourire : « Au volant de leur bus, les chauffeurs nous saluaient d’un signe de la main et certains nous ont crié : “Bravo pour ce que vous faites !”","Sita Olinda a nkônde, a nwemlaga le: “Baluk matôa makeñi ba bé pek bés, ba kalak bés ni kiñ ngii mu matôa map le, ‘bôlô lam ô!’"
82,Puis il ajoute un commandement encore plus important : « Tu dois aimer ton prochain comme toi- même » .,A nkônde mbén ipe i nlôôha ba nseñ i ngéda a kal le: “Gwés mut woñ libôk kiki wemede.” —Matéô 19:17-19.
83,"Judas jette les 30 pièces d’argent dans le Temple, puis il ajoute à son péché en essayant de se suicider.","Yuda a nleñ 30 ma batjañtjañ ba silba i témpel, a nkônde ki kéñbaha béba yé ngéda a noode nitba."
84,"Jésus dit à Pierre qu’il peut être heureux que Dieu lui ait révélé cela, puis il ajoute : « Je te dis : Tu es Pierre, et sur ce rocher je bâtirai ma congrégation, et les portes de la Tombe ne la domineront pas.","Yésu a nkal Pétrô le a nla kon maséé i yi le Djob a bi soolene nye jam li, a nkônde le: “Me nkal ki we le: U yé Pétrô, munu liaa lini nyen m’a ôñôl likoda jem, to manwemel ma Soñ m’a yémbél bé jo.”"
85,» Il a même ajouté que Jéhovah lui- même leur avait demandé de détruire Jérusalem.,A bi kônde ki le: ‘Yéhôva nyemede a nkal bés le di tjé nkoñ unu.’
86,"« Cherchez continuellement [le] royaume [de Dieu], et ces choses vous seront ajoutées » .","“Yéña ndugi Ane [Djob], ndi gwom bini gw’a kôndnana bé.” —LUKAS 12:31."
87,» Il ajoute : « Ta propre nation et les prêtres en chef t’ont livré à moi.,a nkônde le: “Litén joñ jomede lôñni baéga biprisi bon ba nti me we.
88,"Au contraire, ils ont émis des accusations qui ont ajouté à son angoisse.","Iloo hala, ba bi ôm nye minsohi, mbus ba kônde ki nye nduña"
89,"Qu’ajoute Jésus à propos de la prière, et quelle règle de conduite donne- t- il ?","Kii Yésu a nkônde kal inyu jam li masoohe, limbe litiñ Yésu a nti?"
90,» Elle ajoute : « On remarque qu’ils s’intéressent à nous à leur façon de réagir quand on leur parle.,Mandimbhe map ma ñunda yaga le ba nôgda i yom u nôgda.”
91,"» Elle a ajouté : « Pour Jéhovah, ce qui compte, c’est ce qu’on est à l’intérieur.","I mañge wanda nu, a nkônde kal le: “I mis ma Yéhôva, mut kété nyen a yé nseñ.”"
92,"Maurizio ajoute : « Gianni était sincère. En plus, il avait raison.",Maurizio a nkônde kal le: “Gianni a bé mut maliga ni nu a téé sép.
93,"» Il ajoute que, malgré une persécution terrible, les Témoins sont restés « dignes de confiance, sereins [ou : calmes sous la pression] », mais aussi « intègres et solidaires ».","To hala kii ndééñga i bé nayak, ba bi hônba, ba unda ki le “ba bé nitna bo ni bo, le ba bé tééda libak jap li nwee i si ndééñga, ni le ba bé ba tiñi ni Djob jap.”"
94,"Peu après mon arrivée, des auditions ont été organisées pour sélectionner des frères qui seraient ajoutés à la liste d’orateurs utilisés par le Béthel.","Ndék ngéda mbus majubul mem i Bétel, bitelbene bi bi yôña inyu kéñbaha nsoñgi u bati minkwel ba Bétel."
95,Il ajoute : « J’ai appris qu’un jeune qui flirte développe des traits de caractère qui feront de lui un mauvais conjoint.,"Hanano a nkal le: “Me bi sôk ki nok le, i mañge wanda nu a ntjak bape ndik inyu minjôha a ta bé le a ba loñge sobiina."
96,"Jésus a dit : « Continuez donc à chercher d’abord le royaume et sa justice, et toutes ces autres choses [les besoins matériels élémentaires] vous seront ajoutées » (Mat.","Yésu a kal le: “Bé nya yéña ndugi Ane yé ni telepsép yé, ndi to le gwom bini gwobisôna [bi bi yé toi bé nseñ] gw’a kôndnana bé.”"
97,"Cela ressort de ce que Jésus ajoute : « Je vous le dis, [Dieu] fera en sorte que justice leur soit rendue rapidement » .","Hala a nene ngéda Yésu a nkal le: “Me nkal bé le, [Djob] a ga pala pémhene nwo mbagi sép?” —Lukas 18:8"
98,"8 Quelque 2 400 ans après le décret transmis à Noé, 15 siècles après la conclusion de l’alliance de la Loi, Jéhovah a inspiré le collège central de la congrégation chrétienne primitive et lui a fait écrire ceci : “ L’esprit saint et nous- mêmes avons jugé bon de ne pas vous ajouter d’autre fardeau, si ce n’est ces choses- ci qui sont nécessaires : vous abstenir des choses qui ont été sacrifiées aux idoles, et du sang, et de ce qui est étouffé, et de la fornication. ” — Actes 15:28, 29.","8 Bebee le 2 400 ñwii mbus le Nôa a kôs mbén inyu matjél, ni bebee le 1 500 ñwii mbus Malômbla ma Mbén, Yéhôva a bi ti juu li bakena ntôñ u likoda li bikristen bi hiai hi bisu pék i tila le : “I nlémél mbuu mpubi ni bés le di bééga bañ bé mbegee i nloo mana mam ma kôli: le ni tjél bisesema ba nsémél bisat, ni matjél, ni minidik mi gwom, ni ndéñg.” —Minson mi baôma 15:28, 29."
99,Le récit ajoute : « Pendant tout ce temps Esther obtenait sans cesse faveur aux yeux de tous ceux qui la voyaient » (Est.,Bibel i nkal le: “Ndi Ester a léba karis i mis ma bôt bobasôna ba ba tehe nye.”
100,Isaïe a de nouveau expliqué que les Israélites qui rentreraient d’exil n’auraient rien à craindre des animaux ou des humains.,"Yésaya a bi ke ni bisu i yigye le bôt ba binam, to binuga bi bé lama bé tééñga i bet ba bi huu."
101,Notons cependant que les Israélites n’étaient pas tenus à l’impossible pour essayer d’éliminer la moindre trace de sang de la chair de l’animal.,Lôk Israél i bé bé nyéksaga i pémés matjél momasôna le fet ikété minsôn mi nuga.
102,"Imagine : il faut installer tous les animaux à bord, ranger leur nourriture et celle de la famille et charger les affaires de chacun.","Hoñol bôlô i bé béda inyu jôpna binuga gwobisôna ni bijek gwap, inyu bôñgôl gwo i nya i kôli, ni inyu tjek nkus u lihaa li Nôa loñge."
103,"C’est pourquoi, dans l’Israël antique, un pécheur repentant pouvait offrir un animal en sacrifice sur l’autel de Jéhovah et s’éviter ainsi de subir une condamnation pour avoir transgressé ses commandements .","Jon i nlômbi Lôk Israél, mboñbéba nu a nhiel ñem a bé lama kena bilém i juu li bisesema inyu boñ le a semb-ba kokse inyule a mbôk mbén Djob."
104,7 Les animaux sont des âmes. — Genèse 1:24.,7 Binuga bi yé bihégél bi minsôn. —Bibôdle 1:24
105,"4 Après le déluge, Dieu a autorisé les humains à manger la chair des animaux, mais pas leur sang.","4 Mbus ntida malép i ngéda Nôa, Djob a ti bôt kunde i je minsôn mi binuga, ndi ha matjél bé."
106,Il est mal également de manger la chair d’un animal qui n’a pas été correctement saigné.,I ta bé to loñge i je nuga i ba ntibil bé nol.
107,34 Jésus n’a pas sacrifié d’animaux.,34 Yésu a bi ti bé binuga kii sesema.
108,"Et d’autres religions disent qu’après la mort, on est jugé et on renaît avec un corps différent, un corps humain ou animal.","Bibase bipe ki bi niiga le ngéda mut a nwo, ba nkéés nye, mbus a témb a gwéé tole a témb i niñ ni nyuu ipe, bebeg ni nyuu i nuga tole i mut numpe."
109,"Après avoir créé le premier homme, Adam, Dieu lui a amené les animaux pour qu’il leur donne un nom.","Ngéda Yéhôva a bi heg mut bisu le Adam, a bi ti nye bôlô i oo binuga môl."
110,Mais les animaux des Israélites ne mouraient pas.,Ndi bilém bi bon ba Israel bi bé wo bé.
111,9 Même notre façon de traiter les animaux est importante pour Jéhovah.,9 Yak litééda di ntééda binuga li yé nseñ inyu Yéhôva.
112,On utilise des produits obtenus à partir de l’hémoglobine humaine ou animale pour soigner des patients qui sont atteints d’anémie aiguë ou qui ont perdu une grande quantité de sang.,Ba ngwélél hémôglôbin i nlôl i matjél ma bôt ba binam ni ma binuga inyu boñ bee bi ntibil i bôt matjél ma mal ikété nyuu tole i bôt ba nimis matjél ngandak.
113,Jéhovah a préparé la Terre pour que les animaux et les humains puissent y vivre.,"Mbus, Yéhôva a kôôba hisi inyu boñ le binuga ni bôt ba binam ba niñ mu."
114,"4 Jéhovah a fait les animaux il y a très longtemps, avant même de faire l’homme. — Genèse 1:25.",4 Yéhôva a bôg heg binuga ntanda ngéda ilole a ba heg mut binam. —Bibôdle 1:25
115,Comment sait- on qu’il y aura la paix entre les humains et les animaux ?,Kii nyis bés le nsañ u mba ipôla binuga ni bôt ba binam?
116,La Loi ordonnait aussi aux Israélites d’offrir des animaux en sacrifice pour que leurs péchés soient pardonnés .,"Mbén i bé ti ki Lôk Israel oda le i sem binuga inyu nwéhél bibéba. —Béñge Ndoñi 19 ni 20, i mamélél ma kaat."
117,Ils se disent peut-être que ces petites fractions ne représentent plus la vie de l’humain ou de l’animal duquel le sang a été pris.,"Ba nhoñol le disii di gwom ti, di ta ha bé yimbne i niñ i hégél i het matjél ma nyôña."
118,"Ces derniers recherchaient des signes dans des entrailles d’animaux ou d’humains, ou même dans la façon dont un coq picorait le grain.","Ngim bôt ba ngambi i bé gwélél minla mi binuga tole mi bôt, ipe i bé béñge lelaa kôp i ntjobol mis ma kôn, inyu toñol lelaa bilôl bi mut gw’a ba."
119,Un animal étouffé ou bien mort dans un piège ne doit pas être mangé.,"Ibale ba nkép nuga joo tole i ngwéya i hiandi ndi i wo nidik, i nlama bé jéba."
120,20 Ils ont fait entrer beaucoup d’animaux dans l’arche. — Genèse 6:19-21.,20 Ba bi jôbna ngandak binuga ikété nkuu. —Bibôdle 6:19-21
121,21 Il y aura la paix entre les humains et les animaux.,21 Nsañ u mba ipôla binuga ni bôt ba binam.
122,"Marie l’enveloppe dans des langes et le pose dans une mangeoire, là où on met la nourriture des animaux.","Maria a nlép nye ni mabadô, a niñ nye i homa bilém bi njél."
123,La Loi de Moïse autorisait les Israélites à manger des animaux.,"I si Mbén Môsi, bôt ba bééna kunde i je binuga."
124,"6 Si le sang d’un animal tué n’était pas utilisé sur l’autel, il devait être versé à terre.","6 Ibale ba bé le ba nol nuga, ndi ba gwélél bé matjél mé ngii juu li bisesema, ba bé nlama kôp mo isi."
125,"À partir de ce moment- là, Jésus a prêché la bonne nouvelle du Royaume.",Ibôdôl yokel nyen Yésu a bi bôdôl añal ñañ nlam u Ane.
126,Mais que devront- ils faire à partir de maintenant ?,Ndi kii ba nlama boñ mu dilo di nlo?
127,"À partir de ce mois- ci, la réunion de semaine ne présentera plus trois modèles de présentations.","Ibôdôl i sôñ ini, likoda li ñem sonde li ga bana ha bé dihéga daa inyu likalô."
128,Et c’est à partir de ce moment- là qu’il a commencé sa mission.,Nano a bé le a bôdôl nson Yéhôva a bi ep nye i boñ hana isi.
